,index,dates,place_names,tweets,long,lat,clean_tweets,polarity,polarity_q_clinton,polarity_q_trump
0,0,2016-10-10 01:56:10.308,,"@RealRonHoward Can someone tell Donald Trump to shut up
What happened to the good old days when people respected ea… https://t.co/hxEuyJzPTW",,,can someone tell donald trump to shut up what happened to the good old days when people respected ea…,0,0,0
1,1,2016-10-10 01:56:10.491,,"RT @TeenVogue: ""I pay hundreds of millions of dollars in taxes."" - @realDonaldTrump #debate https://t.co/waq5plUxx2",,, i pay hundreds of millions of dollars in taxes - 2,2,2,2
2,2,2016-10-10 01:56:10.562,,"RT @MaxMaxsilva1946: Donald Trump your time is up , why can't they tell Trump his time is up and then thank Trump for everything he says .…",,, donald trump your time is up  why cant they tell trump his time is up and then thank trump for everything he says …,2,2,0
3,3,2016-10-10 01:56:10.534,,"RT @MattNegrin: TRUMP: ""i'm a gentleman""
FACT CHECKER: (throws himself out of window)",,, trump im a gentleman fact checker throws himself out of window,2,2,2
4,4,2016-10-10 01:56:10.661,,RT @elizabethforma: .@realDonaldTrump's tax plan is to cut taxes for rich &amp; powerful guys like Donald Trump &amp; leave everyone else behind. #…,,, s tax plan is to cut taxes for rich &amp powerful guys like donald trump &amp leave everyone else behind …,2,2,2
5,5,2016-10-10 01:56:10.586,,"RT @AC360: ""How do you do that? We are a country founded on religious freedom"" #Clinton reacts to #Trump's proposed Muslim ban https://t.co…",,, how do you do that we are a country founded on religious freedom reacts to s proposed muslim ban,2,2,2
6,6,2016-10-10 01:56:10.643,,"RT @FrankLuntz: The group cares more about Hillary's emails than Trump's ""locker room talk.""  #debate",,, the group cares more about hillarys emails than trumps locker room talk,2,2,2
7,7,2016-10-10 01:56:10.579,,RT @eclecticbrotha: Did he just say Hillary didn't fix the tax code as a senator so she could use the money for attack ads against him? Is…,,, did he just say hillary didnt fix the tax code as a senator so she could use the money for attack ads against him is…,0,0,0
8,8,2016-10-10 01:56:10.486,,RT @NBCLA: True or false? Fact check the candidates as the second presidential debate happens https://t.co/N7d9uqi6s7,,, true or false fact check the candidates as the second presidential debate happens,2,2,2
9,9,2016-10-10 01:56:10.662,,"RT @mitchellvii: “Honest Abe never lied,” Trump says. “That’s the difference between Abraham Lincoln and you.”",,, “honest abe never lied” trump says “that’s the difference between abraham lincoln and you”,2,2,2
10,10,2016-10-10 01:56:10.539,,RT @kashghashghai: I've never been so sad about the state of political discourse in the US as now... this #debate is real?,,, ive never been so sad about the state of political discourse in the us as now this is real,0,0,0
11,12,2016-10-10 01:56:10.605,,RT @HillaryClinton: Ask yourself: Do you want the guy who lost a billion dollars in one year—running a casino!—to run the U.S. economy? #de…,,, ask yourself do you want the guy who lost a billion dollars in one year—running a casino—to run the us economy …,2,2,2
12,13,2016-10-10 01:56:10.529,,Apparently Trump lives in an alternative reality. It seems to work for Elon Musk.,,,apparently trump lives in an alternative reality it seems to work for elon musk,0,0,0
13,14,2016-10-10 01:56:10.630,,RT @xicanaho: Anderson Cooper and his consistently slick ass hair just won this debate,,, anderson cooper and his consistently slick ass hair just won this debate,2,2,2
14,15,2016-10-10 01:56:10.629,,RT @ahauslohner: An American Muslim woman asks what Trump &amp; Clinton will do to protect Muslims from escalating Islamophobia &amp; BOTH respond…,,, an american muslim woman asks what trump &amp clinton will do to protect muslims from escalating islamophobia &amp both respond…,2,2,2
15,16,2016-10-10 01:56:10.637,,Trump is full of BS but no way can y'all really vote or trust Hilary... I don't want to be Friends with anyone that Votes for Hilary,,,trump is full of bs but no way can yall really vote or trust hilary i dont want to be friends with anyone that votes for hilary,2,2,2
16,17,2016-10-10 01:56:10.684,,"RT @RTSportsTalk: Clinton: ""It's a good thing that Donald isn't in charge of the justice system""

Trump: ""Because you'd be in jail"" https:/…",,, clinton its a good thing that donald isnt in charge of the justice system trump because youd be in jail https/…,2,2,2
17,18,2016-10-10 01:56:10.563,,"Okay, but when are they going to address the clown problem in the US? #debate",,,okay but when are they going to address the clown problem in the us,0,0,0
18,19,2016-10-10 01:56:10.395,,RT @AnneBayefsky: .@HillaryClinton asked by audience email: Is it ok to be 2-faced given what we've just seen about you via #Wikileaks? #De…,,,  asked by audience email is it ok to be -faced given what weve just seen about you via  …,2,2,2
19,20,2016-10-10 01:56:10.567,,Locker room stuff. #debate https://t.co/gWlvIpBtEW,,,locker room stuff,2,2,2
20,21,2016-10-10 01:56:10.700,,RT @JohnFugelsang: Trump's worst nightmare. 2 women and a gay man telling him not to talk. #debate,,, trumps worst nightmare women and a gay man telling him not to talk,0,0,0
21,22,2016-10-10 01:56:10.565,,RT @VH1PNUT_: DONALD TRUMP SO RACIST I DON'T EVEN THINK HE EATS THE BLACK OREOS BRO,,, donald trump so racist i dont even think he eats the black oreos bro,2,2,2
22,23,2016-10-10 01:56:10.580,,RT @Crowdpac: Trump says Clinton's ads are paid for by George Soros. She has received $9.9M from finance mogul. #debates https://t.co/KANN3…,,, trump says clintons ads are paid for by george soros she has received $99m from finance mogul,2,2,2
23,24,2016-10-10 01:56:10.540,,RT @mikedunham1: FYI- Been in an #NHL locker room for 20 years. This is NOT locker room talk. #debate,,, fyi- been in an locker room for years this is not locker room talk,0,0,0
24,25,2016-10-10 01:56:10.618,,RT @StaceyHarkey: BERNIE SANDERS DIDN'T DIE FOR THIS! #debate,,, bernie sanders didnt die for this,0,0,0
25,26,2016-10-10 01:56:10.695,,"RT @sallykohn: Actually, no. According to their plans:

Hillary will cut taxes for working people.

Trump will cut taxes for millionaires a…",,, actually no according to their plans hillary will cut taxes for working people trump will cut taxes for millionaires a…,0,0,0
26,27,2016-10-10 01:56:10.676,,"RT @jamisonfoser: Say, I wonder, how would Trump’s tax plan affect his own taxes OH RIGHT WE DON’T KNOW HE HASN’T RELEASED HIS TAXES.",,, say i wonder how would trump’s tax plan affect his own taxes oh right we don’t know he hasn’t released his taxes,2,2,2
27,28,2016-10-10 01:56:11.670,,RT @RosieBarton: Trump: I don't know Putin. I hope we can get along to fight ISIS&gt;,,, trump i dont know putin i hope we can get along to fight isis&gt,2,2,2
28,29,2016-10-10 01:56:11.643,,"RT @tonyschwartz: Again: When Trump snorts, he is lying.",,, again when trump snorts he is lying,2,2,2
29,30,2016-10-10 01:56:11.625,,"RT @NormOrnstein: Reality: Trump tax plan a huge boon to the very richest, starting with himself",,, reality trump tax plan a huge boon to the very richest starting with himself,2,2,2
30,31,2016-10-10 01:56:11.620,,Is trump high?  Why is he spitting and sniffing.?,,,is trump high why is he spitting and sniffing,2,2,2
31,32,2016-10-10 01:56:11.623,,RT @MichaelCastner: I think we are watching #trump have a nervous break down on live television. #debate,,, i think we are watching have a nervous break down on live television,2,2,2
32,33,2016-10-10 01:56:11.653,,RT @FrankLuntz: Focus group did NOT like Hillary Clinton leaving Trump hanging on the opening handshake.  #Debate,,, focus group did not like hillary clinton leaving trump hanging on the opening handshake,0,0,0
33,34,2016-10-10 01:56:11.580,,"RT @WajahatAli: Extreme Vetting of Muslims = a new ESPN show where they make Muslims eat bacon, do circumcision tests to see if we are mode…",,, extreme vetting of muslims = a new espn show where they make muslims eat bacon do circumcision tests to see if we are mode…,2,2,2
34,35,2016-10-10 01:56:11.609,,RT @CathyHolladay1: I can't stand. These idiot comments. Ur right about being bias....she is their girl. https://t.co/BZp0GriWIz,,, i cant stand these idiot comments ur right about being biasshe is their girl,0,0,0
35,36,2016-10-10 01:56:11.577,,RT @GeorgeTakei: Trump isn't passing the sniff test.,,, trump isnt passing the sniff test,0,0,0
36,37,2016-10-10 01:56:11.657,,RT @haileylainee: Not voting = a vote for Donald trump,,, not voting = a vote for donald trump,2,2,2
37,38,2016-10-10 01:56:11.616,,RT @tyleroakley: rt if u have no clue what trump is ever talking about #debate,,, rt if u have no clue what trump is ever talking about,2,2,2
38,39,2016-10-10 01:56:11.678,,RT @MotherJones: Donald Trump has a huge conflict of interest that no one's talking about #debate https://t.co/W5tJ1uts7d,,, donald trump has a huge conflict of interest that no ones talking about d,2,2,2
39,40,2016-10-10 01:56:11.592,,Trump doesn't understand growth and levels. Awesome. #debate,,,trump doesnt understand growth and levels awesome,2,2,2
40,41,2016-10-10 01:56:11.575,,RT @sarahhaluska: wasn't he just complaining about hillary going over her time,,, wasnt he just complaining about hillary going over her time,2,2,2
41,42,2016-10-10 01:56:11.593,,RT @HuffingtonPost: Abraham Lincoln has been name checked more than Ronald Reagan in this #debate so far.,,, abraham lincoln has been name checked more than ronald reagan in this so far,2,2,2
42,43,2016-10-10 01:56:11.673,,RT @IndyUSA: Chelsea and Bill Clinton are clearly enjoying the #debate https://t.co/uOoDS0hPPb,,, chelsea and bill clinton are clearly enjoying the,2,2,2
43,44,2016-10-10 01:56:11.679,,@TheYoungTurks And she brings up his taxes..Can't she see that leaves her open for counterattacks? #debate #tytlive,,,and she brings up his taxescant she see that leaves her open for counterattacks,2,2,2
44,45,2016-10-10 01:56:11.677,,RT @RynWeaver: anderson cooper not having it with trump tonight,,, anderson cooper not having it with trump tonight,0,0,0
45,46,2016-10-10 01:56:11.487,,RT @PeteBlackburn: I bet Abraham Lincoln would rather go watch another play than watch this debate.,,, i bet abraham lincoln would rather go watch another play than watch this debate,2,2,2
46,47,2016-10-10 01:56:11.677,,"RT @OnMessageForHer: Oh. My. God. Did Trump LITERALLY just say he wants friendly, peaceful relations between two nuclear superpowers?!?!…",,, oh my god did trump literally just say he wants friendly peaceful relations between two nuclear superpowers…,2,2,2
47,48,2016-10-10 01:56:11.684,,RT @BoobieMiles_52: Trump is absolutely thrashing her. It's kinda sad tbh.,,, trump is absolutely thrashing her its kinda sad tbh,0,0,0
48,49,2016-10-10 01:56:11.403,,THE US right now. #Debate #PresidentialDebate #Trump #Hillary #TrumpDidHarambe https://t.co/C4iygoq5iZ,,,the us right now,2,2,2
49,50,2016-10-10 01:56:11.651,,RT @JudgeJeanine: I think Hillary's eyes glazed over as Donald talked tax rates. #debate,,, i think hillarys eyes glazed over as donald talked tax rates,2,2,2
50,51,2016-10-10 01:56:11.701,,RT @LordNakai_: This debate has me 💀,,, this debate has me,2,2,2
51,52,2016-10-10 01:56:11.626,,i definitely feel like i've been brought to the lower of the world tonight. #debate,,,i definitely feel like ive been brought to the lower of the world tonight,2,2,2
52,53,2016-10-10 01:56:11.417,,New drinking game: drink every time Trump sniffs.  We'll all be passed out before this ends and that is GOOD for us.,,,new drinking game drink every time trump sniffs well all be passed out before this ends and that is good for us,4,4,4
53,54,2016-10-10 01:56:11.494,,"TRUMP: I'm bringing taxes down so low. Not as low as zero, what I pay, but low! #Debate",,,trump im bringing taxes down so low not as low as zero what i pay but low,0,0,0
54,55,2016-10-10 01:56:11.605,,RT @JoinGreenRush: Who else hit rewind to see if they had a fly inside😂😂😂 #debate https://t.co/fEjN9RSiGm,,, who else hit rewind to see if they had a fly inside,2,2,2
55,57,2016-10-10 01:56:11.623,,RT @Americooligan: That point sums this entire election. Elitist Hillary has no incentive to change the things Trump took advantage of. Tru…,,, that point sums this entire election elitist hillary has no incentive to change the things trump took advantage of tru…,0,0,0
56,58,2016-10-10 01:56:11.669,,RT @JokerXtreme78: Trump should just admit to knowing nothing instead #Debates2016,,, trump should just admit to knowing nothing instead,2,2,2
57,59,2016-10-10 01:56:11.619,,"""Everything that anyone ever says about me is false, unless I agree with it."" -Hillary Clinton",,,everything that anyone ever says about me is false unless i agree with it -hillary clinton,2,2,2
58,61,2016-10-10 01:56:11.601,,RT @nytimes: Since it came up: How Donald Trump uses the tax code in ways you can’t https://t.co/bERj1LdoGn,,, since it came up how donald trump uses the tax code in ways you can’t,2,2,2
59,62,2016-10-10 01:56:11.580,,RT @JaneDueker: Anyone who prefaces an answer with “to be honest” means the next sentence will not be honest. #Trump,,, anyone who prefaces an answer with “to be honest” means the next sentence will not be honest,2,2,2
