,index,dates,place_names,tweets,long,lat,clean_tweets,polarity,polarity_q_clinton,polarity_q_trump
0,0,2016-10-10 02:10:51.641,,Moderators are kill-ing it tonight y'all.  holy moly. #debate,,,moderators are kill-ing it tonight yall holy moly,2,2,2
1,1,2016-10-10 02:10:51.688,,RT @aymaxwell: He looks up as if he's trying to understand the question. Clueless #Debates2016  #debate,,, he looks up as if hes trying to understand the question clueless,2,2,2
2,2,2016-10-10 02:10:51.667,,Martha is well and truly trying #debate,,,martha is well and truly trying,2,2,2
3,3,2016-10-10 02:10:51.558,,"Mosul is in IRAQ, not Syria. The man is very confused. #debate",,,mosul is in iraq not syria the man is very confused,0,0,0
4,4,2016-10-10 02:10:51.635,,RT @JDashin: Other things @HillaryClinton is responsible 4 according to Trump: A) dinosaurs going extinct B) crocs C) pumpkin spice lattes…,,, other things is responsible according to trump a dinosaurs going extinct b crocs c pumpkin spice lattes…,2,2,2
5,5,2016-10-10 02:10:51.571,,RT @MichaelSteele: GOP at this moment. #debate https://t.co/nD0gc29sWj,,, gop at this moment,2,2,2
6,6,2016-10-10 02:10:51.647,,"RT @Evan_McMullin: .@realDonaldTrump is on the side of Russia, Iran, and Assad in Syria as they slaughter innocent Syrian civilians by the…",,,  is on the side of russia iran and assad in syria as they slaughter innocent syrian civilians by the…,2,2,2
7,7,2016-10-10 02:10:51.681,,"RT @tyleroakley: ""i'm a gentleman!"" -man who brags about sexual assault #debate",,, im a gentleman -man who brags about sexual assault,2,2,2
8,8,2016-10-10 02:10:51.565,,Trump thinks foreign policy is like a Tom Clancy novel😂,,,trump thinks foreign policy is like a tom clancy novel,2,2,2
9,9,2016-10-10 02:10:51.663,,RT @abigale_nicole: same girl  #debate https://t.co/wNYklkXO0e,,, same girl,2,2,2
10,10,2016-10-10 02:10:51.564,,"RT @ajplus: Every time Trump yells “SHE” instead of “Secretary Clinton,” a girl decides to go to law school. – #Newsbroke #debate",,, every time trump yells “she” instead of “secretary clinton” a girl decides to go to law school –,2,2,2
11,11,2016-10-10 02:10:51.611,,RT @mehdirhasan: Trump wants Muslim immigrants to sign up to 'our values'. Groping women? Relentless lying? Tax evasion? This Muslim immigr…,,, trump wants muslim immigrants to sign up to our values groping women relentless lying tax evasion this muslim immigr…,2,2,2
12,12,2016-10-10 02:10:51.650,,"RT @TeamTrump: INTERRUPTION COUNT: 14-3 in favor of Crooked.

But @realDonaldTrump is still OWNING the stage. #BigLeagueTruth #Debate #Deba…",,, interruption count -3 in favor of crooked but is still owning the stage …,2,2,2
13,13,2016-10-10 02:10:51.571,,I'm sure Mike #Pence never saw the bus #Trump just threw him under. Ouch. #Debates,,,im sure mike never saw the bus just threw him under ouch,0,0,0
14,14,2016-10-10 02:10:51.595,,"RT @jk_rowling: 'It's your fault I didn't pay taxes, Hillary. Women let you do anything when you're a star.'",,, its your fault i didnt pay taxes hillary women let you do anything when youre a star,2,2,2
15,15,2016-10-10 02:10:51.493,,Watching the debate and I am mostly annoyed at how many times Cameraman #2 keeps zooming in on Hilary.,,,watching the debate and i am mostly annoyed at how many times cameraman keeps zooming in on hilary,2,2,2
16,16,2016-10-10 02:10:51.675,,Can you imagine if Donald Trump talked about literally anything else besides Hillary's emails and ISIS? #debate,,,can you imagine if donald trump talked about literally anything else besides hillarys emails and isis,2,2,2
17,17,2016-10-10 02:10:51.678,,RT @girlposts: I LOVE THE INTERNET 😂😂 #debate https://t.co/D9RLJh6V4Y,,, i love the internet,4,4,4
18,18,2016-10-10 02:10:51.633,,RT @Cernovich: Who has handled the immense pressure of this #debate the best?,,, who has handled the immense pressure of this the best,2,2,2
19,19,2016-10-10 02:10:51.626,,"""How stupid is our country""? Great quote @realDonaldTrump #debate",,,how stupid is our country great quote,2,2,2
20,20,2016-10-10 02:10:51.571,,"RT @NickKristof: Oh, no!Trump is defending Assad on the basis that he is killing ISIS. In fact, Assad fought moderates because he wanted IS…",,, oh notrump is defending assad on the basis that he is killing isis in fact assad fought moderates because he wanted is…,0,0,0
