,index,dates,place_names,tweets,long,lat,clean_tweets,polarity_cl,polarity
0,0,2016-10-20 02:02:52.677,,"RT @LuxAlptraum: Nobody tell Trump he has supporters who want to push gays off buildings and kill women, I guess #debatenight",,, nobody tell trump he has supporters who want to push gays off buildings and kill women i guess,2,2
1,1,2016-10-20 02:02:52.659,,Trump isn't capable of taking responsibility for any of his discriminating actions/words. I don't want a lying narcissist as our president,,,trump isnt capable of taking responsibility for any of his discriminating actions/words i dont want a lying narcissist as our president,2,2
2,2,2016-10-20 02:02:52.566,,"RT @michellemalkin: No moderator has forced Hillary to answer the questions about Bill Clinton.
#debate #debateFAIL",,, no moderator has forced hillary to answer the questions about bill clinton,0,2
3,3,2016-10-20 02:02:52.644,,"RT @randygdub: trump [trying to pander to Bernie voters]: i love karl mark. we're friends 
me: go on...",,, trump [trying to pander to bernie voters] i love karl mark were friends me go on,2,2
4,4,2016-10-20 02:02:52.671,,RT @finneyk: Reminder that its the Trump Foundation that's being investigated for an actual pay to play scandal.,,, reminder that its the trump foundation thats being investigated for an actual pay to play scandal,2,4
5,5,2016-10-20 02:02:52.536,,RT @DRUDGE_REPORT: Hillary Goes On Bizarre Gun Control Tear At Debate... https://t.co/RZGNXbjXIl,,, hillary goes on bizarre gun control tear at debate,2,2
6,6,2016-10-20 02:02:52.629,,When Hillary lies she looks down....  10% Charity 90%Salaries &amp; Travel Clinton Foundation #debatenight,,,when hillary lies she looks down  charity salaries &amp travel clinton foundation,2,2
7,7,2016-10-20 02:02:52.588,,"RT @JoyAnnReid: On to fitness to be president, and the nine women so far who have accused Trump of groping them. #debatenight",,, on to fitness to be president and the nine women so far who have accused trump of groping them,2,2
8,8,2016-10-20 02:02:52.670,,Why does #Hillary associate #PayToPlay with the #ClintonFoundation? Hmmm... #debatenight #NeverHillary,,,why does associate with the  hmmm,2,2
9,9,2016-10-20 02:02:52.588,,RT @finneyk: Trump says he respects women but he's the only candidate who engaged in a 3am tweet storm attacking a former Miss Universe!,,, trump says he respects women but hes the only candidate who engaged in a am tweet storm attacking a former miss universe,2,2
10,10,2016-10-20 02:02:52.595,,"get ""THE GAYS"" out. of. your. fucking. mouth. #Debate",,,get the gays out of your fucking mouth,2,2
11,11,2016-10-20 02:02:52.577,,You know what makes for a good debate? When both nominees and the moderator all talk at the same time. It's awesome! #debate,,,you know what makes for a good debate when both nominees and the moderator all talk at the same time its awesome,4,2
12,12,2016-10-20 02:02:52.684,,He got her there #haiti #cnn #debate,,,he got her there,2,2
13,13,2016-10-20 02:02:52.475,,Hillary getting a little cocky about her debate performance TBH https://t.co/6Fni1Pgjdj,,,hillary getting a little cocky about her debate performance tbh,2,4
14,14,2016-10-20 02:02:52.682,,"RT @BigHeadSports: Trump: ""Nobody has more respect for women than I do.""

*Crowd snickers

That's bad, right?",,, trump nobody has more respect for women than i do crowd snickers thats bad right,0,2
15,15,2016-10-20 02:02:52.620,,"RT @antoniodelotero: #debatenight 

hillary: trump mocked a disabled reporter

trump: wrong!

also trump: https://t.co/XhsvN62SYi",,, hillary trump mocked a disabled reporter trump wrong also trump,2,2
