,index,dates,place_names,tweets,long,lat,clean_tweets,polarity,polarity_q_clinton,polarity_q_trump
0,0,2016-10-10 02:32:52.634,,Trump is the only one on the stage who has actually given someone a pay check. Hillary is out of her league on the economy.  #debate,,,trump is the only one on the stage who has actually given someone a pay check hillary is out of her league on the economy,0,0,0
1,1,2016-10-10 02:32:52.595,,@notaxation we've been watching the same debate it's crazy you can even act like there's some kind of bias in play.,,,weve been watching the same debate its crazy you can even act like theres some kind of bias in play,2,2,2
2,2,2016-10-10 02:32:52.554,,I'm floored by the lack of color in this debate/election...,,,im floored by the lack of color in this debate/election,2,2,2
3,3,2016-10-10 02:32:52.636,,"RT @HillaryClinton: The next president could appoint up to three Supreme Court justices.

Will they protect Americans' rights, or corporati…",,, the next president could appoint up to three supreme court justices will they protect americans rights or corporati…,2,2,2
4,4,2016-10-10 02:32:52.595,,"RT @raymondbraun: RT if you want to see social justice issues, women's rights, and LGBTQ rights addressed during tonight's #debate.",,, rt if you want to see social justice issues womens rights and lgbtq rights addressed during tonights ,2,2,2
5,5,2016-10-10 02:32:52.512,,"RT @PolitiFact: LIVE FACT-CHECK: 'Trump Effect,' says teachers are reporting more bullying in schools
https://t.co/SQnbpnLPMx https://t.co/…",,, live fact-check trump effect says teachers are reporting more bullying in schools,2,2,2
6,6,2016-10-10 02:32:52.624,,"RT @JoyAnnReid: Good shot by Clinton: ""China is dumping steel and putting U.S. steel workers out of work, and Donald is buying it."" #debate",,, good shot by clinton china is dumping steel and putting us steel workers out of work and donald is buying it,2,2,2
7,7,2016-10-10 02:32:52.649,,RT @mrwalsh8: President Trump making America proud tonight! #debates,,, president trump making america proud tonight,4,4,4
8,8,2016-10-10 02:32:52.649,,"RT @FoxNews: .@HillaryClinton: ""I would specifically target Baghdadi... I would also consider arming the Kurds."" #Debate…",,,  i would specifically target baghdadi i would also consider arming the kurds …,2,2,2
9,9,2016-10-10 02:32:52.535,,RT @JoyAnnReid: This right here. https://t.co/wnMyAKrHez,,, this right here,2,2,2
10,10,2016-10-10 02:32:52.623,,RT @AkilahObviously: I think Donald Trump might have a heart attack if he found out my black ass grew up in the suburbs. #debate,,, i think donald trump might have a heart attack if he found out my black ass grew up in the suburbs,2,2,2
11,11,2016-10-10 02:32:52.418,,"RT @Daenerys: Friend: What are you doing?

Me: Watching the #Debate 

Friend: Let's watch Game of Thrones, its less depressing. 

Me: omg y…",,, friend what are you doing me watching the friend lets watch game of thrones its less depressing me omg y…,0,0,0
12,12,2016-10-10 02:32:52.483,,"RT @BayoumiMoustafa: I'm a Muslim, and I would like to report a crazy man threatening a woman on a stage in Missouri.  #debate",,, im a muslim and i would like to report a crazy man threatening a woman on a stage in missouri,2,2,2
13,13,2016-10-10 02:32:52.669,,"RT @ChrisMurphyCT: If you don't think Trump wants to mirror Putin as President, then you didn't hear him threaten to jail his political riv…",,, if you dont think trump wants to mirror putin as president then you didnt hear him threaten to jail his political riv…,0,0,0
14,14,2016-10-10 02:32:52.570,,Yes he seems to do it a lot. https://t.co/CiPAXFSthY,,,yes he seems to do it a lot,2,2,2
15,15,2016-10-10 02:32:52.665,,RT @KelSamLiz: Retweet if you're Black and you don't live in the hood. #debate,,, retweet if youre black and you dont live in the hood,2,2,2
16,16,2016-10-10 02:32:52.506,,RT @postpolitics: Donald Trump’s angry debate performance seems guaranteed to reinforce his number one problem https://t.co/dQsTylcfKR,,, donald trump’s angry debate performance seems guaranteed to reinforce his number one problem,2,2,2
17,17,2016-10-10 02:32:52.625,"Gurnee, IL","""why was Hillary being so nean to trump?"" Idk b maybe because he's a misogynistic asshole that's why",-87.9378545,42.3777775,why was hillary being so nean to trump idk b maybe because hes a misogynistic asshole thats why,0,0,0
18,18,2016-10-10 02:32:52.434,,RT @1975VESSEL: the fact that there's actually people supporting Trump makes me feel sick #debate,,, the fact that theres actually people supporting trump makes me feel sick,2,2,2
19,19,2016-10-10 02:32:52.572,,"RT @elizabethforma: Remember: @SenateGOP are running away from @realDonaldTrump this weekend, but they're holding a Supreme Court seat host…",,, remember are running away from this weekend but theyre holding a supreme court seat host…,0,0,0
20,20,2016-10-10 02:32:52.629,,"""I know the EPA are bad guys from the original ghostbusters...which is WAY better than the new one...the milo kid told me"" #debate",,,i know the epa are bad guys from the original ghostbusterswhich is way better than the new onethe milo kid told me,2,2,2
21,21,2016-10-10 02:32:52.641,,"RT @realDonaldTrump: If @HillaryClinton is president, she’ll be all talk and nothing will get done. #Debate #BigLeagueTruth",,, if is president she’ll be all talk and nothing will get done,2,2,2
22,22,2016-10-10 02:32:52.686,,RT @HillaryClinton: Trump talks tough on trade and Chinese steel hurting American workers—but he bought Chinese steel for two of his last t…,,, trump talks tough on trade and chinese steel hurting american workers—but he bought chinese steel for two of his last t…,2,2,2
23,23,2016-10-10 02:32:52.506,,"RT @KathyShelton_: I don’t care if Trump said gross things. I care that Hillary Clinton lied, terrorized, &amp; mocked me, defending my rapist.",,, i don’t care if trump said gross things i care that hillary clinton lied terrorized &amp mocked me defending my rapist,2,2,2
24,24,2016-10-10 02:32:52.570,,RT @nytpolitics: Fact Check: Donald Trump on gross domestic product and taxes https://t.co/fcbPgje4K5 https://t.co/sNiB6wkdg5,,, fact check donald trump on gross domestic product and taxes,2,2,2
25,25,2016-10-10 02:32:52.521,,I'm watching it in the bathroom. So I can throw up every few minutes. https://t.co/PhFVz9XOxl,,,im watching it in the bathroom so i can throw up every few minutes,2,2,2
26,26,2016-10-10 02:32:52.607,,"ok Now I will say it ... not a big #Trump fan  but compared to the lying, murderer Killary Clinton I will vote for Donald Trump.  #Debate",,,ok now i will say it  not a big fan but compared to the lying murderer killary clinton i will vote for donald trump,2,2,2
27,27,2016-10-10 02:32:52.645,,One thing I learnt about @realDonaldTrump from these debates is that he is very experienced with dodging questions #shady #debate,,,one thing i learnt about from these debates is that he is very eerienced with dodging questions,2,2,2
