,index,dates,place_names,tweets,long,lat,clean_tweets,polarity,polarity_q_clinton,polarity_q_trump
0,0,2016-10-10 01:48:49.701,,Donald Trump is a baller,,,donald trump is a baller,2,2,2
1,1,2016-10-10 01:48:49.574,,Everything that Trump said is bullshit! https://t.co/DWQiN3StHc,,,everything that trump said is bullshit c,2,2,2
2,2,2016-10-10 01:48:49.630,,When trump says he wants to get rid of all the immigrants who cause negative shit here and border problems thats what gets me the most tbh,,,when trump says he wants to get rid of all the immigrants who cause negative shit here and border problems thats what gets me the most tbh,0,0,0
3,3,2016-10-10 01:48:49.634,,RT @WSJ: Donald Trump repeats unsubstantiated claim about San Bernardino attack — #debatenight live coverage: https://t.co/gfvZ9kbUGS 🔓,,, donald trump repeats unsubstantiated claim about san bernardino attack — live coverage,2,2,2
4,4,2016-10-10 01:48:49.686,,RT @YG: Is this a Presidential Debate or this Jerry springer meets judge Judy 🤔🤔🤔🤔,,, is this a presidential debate or this jerry springer meets judge judy 🤔🤔🤔🤔,2,2,2
5,5,2016-10-10 01:48:49.651,,"RT @WorkingFamilies: While his friend Putin bombs Syrians, Trump blames Obama for fleeing Syrian families #Debates2016",,, while his friend putin bombs syrians trump blames obama for fleeing syrian families,2,2,2
6,6,2016-10-10 01:48:49.610,,RT @ajplus: Donald Trump has been accused of sexual assault by many women. #debate https://t.co/klEK9B0Tps,,, donald trump has been accused of sexual assault by many women,2,2,2
7,7,2016-10-10 01:48:49.011,"Maine, USA",When you think you've still got this but then you remember grabbing the pussy #debate https://t.co/LmEiJkIinO,-68.984705,45.188407,when you think youve still got this but then you remember grabbing the pussy,2,2,2
8,8,2016-10-10 01:48:49.720,,RT @DiamondandSilk: Hillary is so concern about Syrian Refugees but not concern about homeless veterans. Take care of home first.Oops f…,,, hillary is so concern about syrian refugees but not concern about homeless veterans take care of home firstoops f…,0,0,0
9,9,2016-10-10 01:48:49.457,,RT @fuggirls: Hillary turn around there's something behind you girl TURN AROUND. #horrormovie #debate -H https://t.co/nzzn6JfD49,,, hillary turn around theres something behind you girl turn around -h 9,2,2,2
10,10,2016-10-10 01:48:49.649,,"Tough questions in this debate. Will the words ""climate change"" be spoken, or do we again ignore the greatest threat to humanity? #debate",,,tough questions in this debate will the words climate change be spoken or do we again ignore the greatest threat to humanity,2,2,2
11,11,2016-10-10 01:48:49.718,,"RT @AdamSerwer: ""I'm a gentleman Hillary,"" says the guy who was caught on tape bragging about being able to grab women's genitals whenever…",,, im a gentleman hillary says the guy who was caught on tape bragging about being able to grab womens genitals whenever…,2,2,2
12,12,2016-10-10 01:48:49.649,,RT @ill_be_BACH_: I can NOT wait for the SNL skit on this debate,,, i can not wait for the snl skit on this debate,2,2,2
13,13,2016-10-10 01:48:49.623,,"RT @LivvyLevyLover: The lies that are going on in this debate... I can't even right now.
=/ https://t.co/8EvzWMvM4p",,, the lies that are going on in this debate i cant even right now =/,0,0,0
14,14,2016-10-10 01:48:49.548,,"""Thank you Mr. Trump"" literally means please stop now please! 😂",,,thank you mr trump literally means please stop now please,2,2,2
15,15,2016-10-10 01:48:49.688,,I choose for my own health and sanity to tune out of this #debate.,,,i choose for my own health and sanity to tune out of this ,2,2,2
16,16,2016-10-10 01:48:49.655,,RT @_Kalliejames: Hillary Clinton should worry about our OWN country not any others.,,, hillary clinton should worry about our own country not any others,2,2,2
17,17,2016-10-10 01:48:49.680,,"RT @bobvulfov: ANDERSON COOPER: did u advocate for sexual assault
TRUMP: i'll destroy isis
ANDERSON COOPER: u didnt answer the question
TRU…",,, anderson cooper did u advocate for sexual assault trump ill destroy isis anderson cooper u didnt answer the question tru…,2,2,2
18,18,2016-10-10 01:48:49.690,,RT @mirandachale: He is such a whiny bitch #debate,,, he is such a whiny bitch,2,2,2
