,index,dates,place_names,tweets,long,lat,clean_tweets,polarity,polarity_q_clinton,polarity_q_trump
0,0,2016-10-10 01:23:13.356,,I commend Hillary for her strength but you can tell she's ready to give Donald them hands. #debate https://t.co/0qXEntnjgi,,,i commend hillary for her strength but you can tell shes ready to give donald them hands,2,2,2
1,1,2016-10-10 01:23:13.282,,RT @always_anita: I don't need Trump to utter any words about @MichelleObama,,, i dont need trump to utter any words about,0,0,0
2,2,2016-10-10 01:23:13.658,,Trump is brutal.,,,trump is brutal,2,2,2
3,3,2016-10-10 01:23:13.628,"Denver, CO","Oh Trump, you're doubling down on being an idiot",-104.9220935,39.713563,oh trump youre doubling down on being an idiot,2,2,2
4,4,2016-10-10 01:23:13.657,,Hillary just talks non sense,,,hillary just talks non sense,2,2,2
5,5,2016-10-10 01:23:13.672,,Hillary Clinton and Donald J. Trump. #abcNews2016 #Debates2016... https://t.co/NapIGlEM9Y,,,hillary clinton and donald j trump ,2,2,2
6,6,2016-10-10 01:23:13.712,,Fuck the emails! #debate #DonaldTrump,,,fuck the emails,2,2,2
7,7,2016-10-10 01:23:13.388,,Moderators at 9pm: Ok we're going to stay on message and have a productive debate. Debate at 9:15pm: https://t.co/GLT7ZzZNCI,,,moderators at pm ok were going to stay on message and have a productive debate debate at 15pm,2,2,2
8,8,2016-10-10 01:23:13.206,,Presidential debate: Watch live https://t.co/XvN1o6D2zN https://t.co/47NeKE8DMh,,,presidential debate watch live,2,2,2
9,9,2016-10-10 01:23:13.660,,The claws are definitely out. #debate,,,the claws are definitely out,2,2,2
10,10,2016-10-10 01:23:13.640,,BREAKING: ICE Officials Told Trump Illegals Being Given Citizenship to Vote https://t.co/f4SnYVoHJS...,,,breaking ice officials told trump illegals being given citizenship to vote ,2,2,2
11,11,2016-10-10 01:23:13.636,,BOOM!!!  Called her the devil!!! #debate,,,boom called her the devil,2,2,2
12,12,2016-10-10 01:23:13.567,"South Carolina, USA",I feel like I'm watching a heavyweight title fight. #debate,-80.926628,33.6311395,i feel like im watching a heavyweight title fight,2,2,2
13,13,2016-10-10 01:23:14.680,,insulting hill drink #debate,,,insulting hill drink,2,2,2
14,14,2016-10-10 01:23:14.369,,I literally have no idea what he is talking about right now. #debate,,,i literally have no idea what he is talking about right now,2,2,2
15,15,2016-10-10 01:23:14.664,,OMG he is sick. Sick. Clueless.  #debate Sniff Sniff Sniff Sniff.   He's high.,,,omg he is sick sick clueless sniff sniff sniff sniff hes high,2,2,2
16,16,2016-10-10 01:23:14.661,,"RT @PolitiFact: LIVE FACT-CHECK: Claims that Hillary Clinton started, pushed the birther movement False. https://t.co/wsY1kPZoc9 https://t.…",,, live fact-check claims that hillary clinton started pushed the birther movement false c9,2,2,2
17,17,2016-10-10 01:23:14.589,,Donald Trump citing wikileaks and calling our Debbie. Even a broken clock is right twice a day.,,,donald trump citing wikileaks and calling our debbie even a broken clock is right twice a day,0,0,0
18,18,2016-10-10 01:23:14.659,,"Trump just said ""devil"" to her face...",,,trump just said devil to her face,2,2,2
