,index,dates,place_names,tweets,long,lat,clean_tweets,polarity,polarity_q_clinton,polarity_q_trump
0,0,2016-10-10 02:07:10.417,,"RT @caitlinp33: Here's a quick, heartbreaking reminder of the boy in the video they brought up during the debate https://t.co/3FiElXuoKJ",,, heres a quick heartbreaking reminder of the boy in the video they brought up during the debate,2,2,2
1,1,2016-10-10 02:07:10.672,,RT @kathrynlopez: Please mention the genocide of Christians by ISIS someone #debate,,, please mention the genocide of christians by isis someone,2,2,2
2,2,2016-10-10 02:07:10.561,,RT @itsSTquotes: What Hillary Clinton and Donald Trump look like to me https://t.co/p5t7GQLPw0,,, what hillary clinton and donald trump look like to me 0,2,2,2
3,3,2016-10-10 02:07:10.615,,"RT @goldengateblond: If Trump looks serious, he's just trying to recall the lyrics to all those Schoolhouse Rock songs that were part of hi…",,, if trump looks serious hes just trying to recall the lyrics to all those schoolhouse rock songs that were part of hi…,2,2,2
4,4,2016-10-10 02:07:10.454,,"RT @itskatcombs: Trump writing a term paper:

Sources Cited:
1. You Know It
2. I know It
3. Everybody Knows It",,, trump writing a term paper sources cited  you know it  i know it  everybody knows it,4,4,4
5,5,2016-10-10 02:07:10.668,,"RT @sallykohn: Again, watch her very closely and you'll see a woman who actually knows what she's talking about.  #debate #debates2016",,, again watch her very closely and youll see a woman who actually knows what shes talking about,4,4,4
6,6,2016-10-10 02:07:10.182,,"RT @TEN_GOP: Reminder: Leaked emails prove George Soros instructed Hillary while secretary of state!

#debate https://t.co/VAwQv275AU",,, reminder leaked emails prove george soros instructed hillary while secretary of state u,2,2,2
7,7,2016-10-10 02:07:10.618,,"RT @RBraceySherman: AMERICA: I would very much like to be excluded from this narrative, one that I have never asked to be part of, sinc…",,, america i would very much like to be excluded from this narrative one that i have never asked to be part of sinc…,2,2,2
8,8,2016-10-10 02:07:10.543,"San Francisco, CA",Trump stands scowling in front of the text of a document he has no comprehension of. #declarationofindependence #debate,-122.4359785,37.7706565,trump stands scowling in front of the text of a document he has no comprehension of,2,2,2
9,9,2016-10-10 02:07:10.384,,"RT @jonnysun: cooper: do u pay taxes
trump: no!
cooper: so you dont
trump: of course i do
cooper: what
trump: bernie sanders
cooper: wait w…",,, cooper do u pay taxes trump no cooper so you dont trump of course i do cooper what trump bernie sanders cooper wait w…,2,2,2
10,10,2016-10-10 02:07:10.680,,"RT @realDonaldTrump: Here are Hillary Clinton's ""accomplishments"" at the State Department.
#Debates2016 #RattledHillary https://t.co/iouuqX…",,, here are hillary clintons accomplishments at the state department,2,2,2
11,11,2016-10-10 02:07:10.671,,RT @ananavarro: Donald Trump is not only the grossest of men to ever run for President. He is simply the grossest of men. Period.,,, donald trump is not only the grossest of men to ever run for president he is simply the grossest of men period,2,2,2
12,12,2016-10-10 02:07:10.607,,RT @AnnCoulter: And she laughed about getting the rapist off with time served.  LAUGHED. https://t.co/IWa1umtzeP,,, and she laughed about getting the rapist off with time served laughed,2,2,2
13,13,2016-10-10 02:07:10.677,,RT @ElijahJMitchell: The reason why Trump wont win is because he doesn't state his policies only tries to play the hate game #debate,,, the reason why trump wont win is because he doesnt state his policies only tries to play the hate game,0,0,0
14,14,2016-10-10 02:07:10.693,,"RT @TheBriefing2016: Trump claims he's worth $10 billion.

To our knowledge, here's what he's contributed to...

Troops: $0

Veterans: $0…",,, trump claims hes worth $10 billion to our knowledge heres what hes contributed to troops $0 veterans $0…,2,2,2
15,15,2016-10-10 02:07:10.588,,RT @pewresearch: Confidence in Russian President Vladimir Putin to do the right thing in foreign affairs low across Europe…,,, confidence in russian president vladimir putin to do the right thing in foreign affairs low across europe…,2,2,2
16,16,2016-10-10 02:07:10.578,,"RT @HillaryClinton: Four hundred pieces of legislation have Hillary Clinton's name on them.

How many has Donald Trump passed? #debate",,, four hundred pieces of legislation have hillary clintons name on them how many has donald trump passed,2,2,2
17,17,2016-10-10 02:07:10.626,,RT @saulsucks: I'm pretty much still in disbelief that Hillary beat Bernie,,, im pretty much still in disbelief that hillary beat bernie,2,2,2
18,18,2016-10-10 02:07:10.644,,"RT @deray: The moderators should be able to mute the mics, #Debate",,, the moderators should be able to mute the mics,2,2,2
19,19,2016-10-10 02:07:11.675,,#debate but we shouldn't be using nuclear trump also Putin is bad guy,,,but we shouldnt be using nuclear trump also putin is bad guy,0,0,0
20,20,2016-10-10 02:07:11.536,,"It happens in business But that's more relevant than losing OUR MONEY, $6BILLION??? Your focus is messed up! https://t.co/kNrGUO0Mnu",,,it happens in business but thats more relevant than losing our money $6billion your focus is messed up u,0,0,0
21,21,2016-10-10 02:07:11.616,,"It's not Trump that worries me, it's the tens of millions that support him.",,,its not trump that worries me its the tens of millions that support him,2,2,2
22,22,2016-10-10 02:07:11.475,,RT @HillaryClinton: Donald Trump isn’t going anywhere. Chip in right now to make sure he never gets close to the presidency. https://t.co/E…,,, donald trump isn’t going anywhere chip in right now to make sure he never gets close to the presidency,2,2,2
23,23,2016-10-10 02:07:11.535,,"""I hate to interrupt ya dahnald"" #debate",,,i hate to interrupt ya dahnald,0,0,0
24,24,2016-10-10 02:07:11.587,,Dear God this man is the worst. I'm skeeved out. #debate,,,dear god this man is the worst im skeeved out,0,0,0
25,25,2016-10-10 02:07:11.533,,"RT @ScottElliotG: Trump mentions depreciation, which is an entirely legitimate provision of the tax code:
https://t.co/pw0ju6lodv",,, trump mentions depreciation which is an entirely legitimate provision of the tax code,2,2,2
26,26,2016-10-10 02:07:11.649,,"""Russia is new in terms of nuclear."" This. Man. Cannot. Be. President. #debate",,,russia is new in terms of nuclear this man cannot be president,2,2,2
27,27,2016-10-10 02:07:11.640,,"RT @jk_rowling: 'It's your fault I didn't pay taxes, Hillary. Women let you do anything when you're a star.'",,, its your fault i didnt pay taxes hillary women let you do anything when youre a star,2,2,2
28,28,2016-10-10 02:07:11.474,,RT @tonyposnanski: Was Donald Trump on Earth the last 30 years? #debate,,, was donald trump on earth the last years,2,2,2
29,29,2016-10-10 02:07:11.409,,RT @_JustDenver: Donald Trump sounds like …when you didn’t make any of the group project meetings and now it’s your turn to present.,,, donald trump sounds like …when you didn’t make any of the group project meetings and now it’s your turn to present,2,2,2
30,30,2016-10-10 02:07:11.664,,RT @LifeAs_Louise: IF YOU WERE AN EFFECTIVE BUSINESSMAN YOU WOULDN'T HAVE FILED BANKRUPTCY FOUR F*CKING TIMES #debate,,, if you were an effective businessman you wouldnt have filed bankruptcy four fcking times,2,2,2
31,31,2016-10-10 02:07:11.521,,RT @RealMuckmaker: Trump's Attempt To Play The Bill Clinton Rapist Card Horribly Backfires At Debate via @politicususa https://t.co/RyfRQZ4…,,, trumps attempt to play the bill clinton rapist card horribly backfires at debate via,2,2,2
32,32,2016-10-10 02:07:11.627,,RT @JohnJHarwood: Clinton looks a lot happier than Trump,,, clinton looks a lot happier than trump,2,2,2
33,34,2016-10-10 02:07:11.511,,"RT @LegInsurrection: Trump must be doing well, @BuzzFeedNews is trying to Rick Lazio him, and debate's not even over yet #Debates2016…",,, trump must be doing well is trying to rick lazio him and debates not even over yet …,0,0,0
34,35,2016-10-10 02:07:11.662,,RT @hrtablaze: Anyone else notice that Hillary did not deny the wikileaks about her private vs public life? Instead she blamed Abe Lincoln…,,, anyone else notice that hillary did not deny the wikileaks about her private vs public life instead she blamed abe lincoln…,2,2,2
35,36,2016-10-10 02:07:11.558,,"RT @ddiamond: FACT CHECK: Since Obamacare passed, the nation has gained more than 15 million private sector jobs. #debate https://t.co/lU15…",,, fact check since obamacare passed the nation has gained more than million private sector jobs,2,2,2
36,37,2016-10-10 02:07:11.629,,"RT @_roryg: ""I know nothing about Russia,"" says the man that wants to be Commander in Chief. #debate",,, i know nothing about russia says the man that wants to be commander in chief,0,0,0
37,38,2016-10-10 02:07:11.678,,"RT @jesseberney: ""If you were an effective senator, you would've got it done."" -Donald Trump, who has literally no idea how the U.S. govern…",,, if you were an effective senator you wouldve got it done -donald trump who has literally no idea how the us govern…,2,2,2
38,39,2016-10-10 02:07:11.641,,RT @BlackPplVines: Bill 5 seconds from swinging on Donald #Debate https://t.co/CbIuuMYzYl,,, bill seconds from swinging on donald,2,2,2
39,40,2016-10-10 02:07:11.648,,RT @coreymaurice: Bill 5 seconds from swinging on Donald #Debate https://t.co/rpCcSDgeH5,,, bill seconds from swinging on donald,2,2,2
40,41,2016-10-10 02:07:11.631,,RT @BoSnerdley: Trump has improved 100% from the first debate - and this is a great point - Why didn't you CHANGE It?,,, trump has improved  from the first debate - and this is a great point - why didnt you change it,2,2,2
41,42,2016-10-10 02:07:11.535,,#debate #CrookedHillary created the breeding ground and destroyed the Middle East..... Obama and Hillary birthed IS… https://t.co/pZGhm3wPSN,,,created the breeding ground and destroyed the middle east obama and hillary birthed is…,2,2,2
42,43,2016-10-10 02:07:11.581,,RT @chucktodd: Trump has made life more miserable for swing state GOPers who want to bolt on him.  His base is going to LOVE this performan…,,, trump has made life more miserable for swing state gopers who want to bolt on him his base is going to love this performan…,2,2,2
43,45,2016-10-10 02:07:11.670,,"RT @FillWerrell: ◻️Trump
◻️Hillary
☑️Cory in the house",,, ◻️trump ◻️hillary ️cory in the house,2,2,2
44,46,2016-10-10 02:07:11.570,,"I really do want to turn this off, and yet I can't look away.   #debate",,,i really do want to turn this off and yet i cant look away,2,2,2
45,47,2016-10-10 02:07:11.683,,RT @britneysrevival: You all didn't hear this from me but waikingonair is a Trump supporter.,,, you all didnt hear this from me but waikingonair is a trump supporter,2,2,0
46,48,2016-10-10 02:07:11.555,,He's under scientific observation for being the only man who was born over a century ago &amp; yesterday at the same ti… https://t.co/3xOAmLkwrn,,,hes under scientific observation for being the only man who was born over a century ago &amp yesterday at the same ti…,0,0,0
47,49,2016-10-10 02:07:11.483,,"RT @NYMag: After Anderson Cooper didn't ask Hillary Clinton a question about her emails at Trump's behest, Donald claimed the…",,, after anderson cooper didnt ask hillary clinton a question about her emails at trumps behest donald claimed the…,2,2,2
48,50,2016-10-10 02:07:11.524,,Holy shit this is a great idea https://t.co/AXumTiGNPD,,,holy shit this is a great idea d,2,2,2
49,51,2016-10-10 02:07:11.670,"Cranston, RI",Donald Trump roasts everyones lives😂😂😂😂😂😭,-71.463968,41.768938,donald trump roasts everyones lives,2,2,2
50,52,2016-10-10 02:07:11.645,,"RT @feministabulous: Trump: You haven't done shit.

Clinton: ""400 pieces of legislation have my name on it.""

#debate",,, trump you havent done shit clinton 400 pieces of legislation have my name on it,2,2,2
51,54,2016-10-10 02:07:11.607,,There he goes with nuclear again. #Debates2016 #debate,,,there he goes with nuclear again,2,2,2
52,55,2016-10-10 02:07:11.584,,That clip of #GaryJohnson talking with his tongue out doesn't seem so bad now does it? #debate,,,that clip of talking with his tongue out doesnt seem so bad now does it,0,0,0
