,index,dates,place_names,tweets,long,lat,clean_tweets,polarity,polarity_q_clinton,polarity_q_trump
0,0,2016-10-10 01:34:12.684,,RT @fofocasonline: Hillary doesn't want to talk about the emails and CNN is covering it. Donald Trump is very right #debate,,, hillary doesnt want to talk about the emails and cnn is covering it donald trump is very right,2,2,2
1,1,2016-10-10 01:34:12.593,,@Lauren_Southern I think Hillary's drunk. She's nodding to trumps attacks,,,i think hillarys drunk shes nodding to trumps attacks,2,2,2
2,2,2016-10-10 01:34:12.691,,RT @ECLamb: I have coverage now that was not available to me before Obamacare. That's true for dozens of people I know. #Debate,,, i have coverage now that was not available to me before obamacare thats true for dozens of people i know,0,0,0
3,3,2016-10-10 01:34:12.693,,RT @harto: It's funny how quickly the Presidential #Debate became a national drinking event.,,, its funny how quickly the presidential became a national drinking event,2,2,2
4,4,2016-10-10 01:34:12.524,,RT @jaclynf: Fact check: that story about HRC laughing in the rape case has been repeatedly disproven. #Debate,,, fact check that story about hrc laughing in the rape case has been repeatedly disproven,2,2,2
5,5,2016-10-10 01:34:12.627,,What is his plan? Wait he has none #debate,,,what is his plan wait he has none,2,2,2
6,6,2016-10-10 01:34:12.488,,RT @BASEDJESUS: this debate got me wanting to eat my toes,,, this debate got me wanting to eat my toes,2,2,2
7,7,2016-10-10 01:34:12.629,,Damnnnnnn!!!!! Canada!!!! He's calling you out!!!! #debate,,,damnnnnnn canada hes calling you out,2,2,2
8,8,2016-10-10 01:34:12.486,,#News #business Hillary Clinton: Donald Trump’s Leaked Tape ‘Represents Exactly Who He Is’  #BusinessNews,,,hillary clinton donald trump’s leaked tape ‘represents exactly who he is’,2,2,2
9,9,2016-10-10 01:34:12.674,,"I don't mind at all when the moderators stay out of it M, I'm watching The Donald implode. ~K #debate",,,i dont mind at all when the moderators stay out of it m im watching the donald implode ~k,2,2,2
10,10,2016-10-10 01:34:12.701,,"RT @kasie: Donald Trump: ""I am a gentleman."" https://t.co/ZTFR41y2C8",,, donald trump i am a gentleman 2c8,2,2,2
11,11,2016-10-10 01:34:12.590,,RT @dystopia47: Hillary terrifies me #debate,,, hillary terrifies me,2,2,2
12,12,2016-10-10 01:34:12.605,,RT @Equality1975: Just based on Trump's mic usage I could not vote for him. #2016Debates,,, just based on trumps mic usage i could not vote for him,2,2,2
13,13,2016-10-10 01:34:12.616,,RT @AdamParkhomenko: Even watching him makes me nervous #debate https://t.co/J89rPdzyxS,,, even watching him makes me nervous,2,2,2
14,14,2016-10-10 01:34:12.515,,RT @FrankLuntz: My focus group unanimously says Donald Trump won the exchange on Hillary's emails. #debate,,, my focus group unanimously says donald trump won the exchange on hillarys emails,2,2,2
15,15,2016-10-10 01:34:12.542,,"RT @mmurraypolitics: Fact-check: Trump says Clinton wants single-payer. 

False -- that was Bernie Sanders",,, fact-check trump says clinton wants single-payer false -- that was bernie sanders,2,2,2
16,16,2016-10-10 01:34:12.661,,RT @DaysCafe: Trump sniffles and talks new plan with competition #PresidentialDebate,,, trump sniffles and talks new plan with competition,2,2,2
17,17,2016-10-10 01:34:12.707,,RT @ItsMJ254: Trump has gotten this far cause there's millions of racists in this country who want to see another bigot at the top. Won't h…,,, trump has gotten this far cause theres millions of racists in this country who want to see another bigot at the top wont h…,2,2,2
18,18,2016-10-10 01:34:12.635,,RT @EvelynLozada: Shut up and let @HillaryClinton talk!!! #debate,,, shut up and let talk,2,2,2
19,19,2016-10-10 01:34:12.703,,What would you replace it with exactly Donald. Let's hear some proposal! #debate,,,what would you replace it with exactly donald lets hear some proposal,2,2,2
20,20,2016-10-10 01:34:12.326,,RT @Realjmannarino: TRUMP CAME TO WIN!!!!!!! #Debate,,, trump came to win,2,2,2
21,21,2016-10-10 01:34:12.649,,RT @ariannahuff: Trump hovering over her now. I’d advise her to stay out of grabbing distance. #debate,,, trump hovering over her now i’d advise her to stay out of grabbing distance,2,2,2
22,22,2016-10-10 01:34:12.690,,"Why do Hillary &amp; Donald keep circling each other? It's like they're about to have the shittiest, most boring rap battle in history.
#debate",,,why do hillary &amp donald keep circling each other its like theyre about to have the shittiest most boring rap battle in history,0,0,0
23,23,2016-10-10 01:34:12.681,,HRC laid out some great steps to fix Obamacare. Trump wants to repeal/replace it. With what? No plan whatsoever. #debate,,,hrc laid out some great steps to fix obamacare trump wants to repeal/replace it with what no plan whatsoever,0,0,0
24,24,2016-10-10 01:34:12.507,,This. He damaged her on that. Badly. https://t.co/FtWLKV6foT,,,this he damaged her on that badly,2,2,2
25,25,2016-10-10 01:34:12.591,,RT @nycjim: Trump playing the victim is just pathetic. “1 against 3.”,,, trump playing the victim is just pathetic “1 against ”,2,2,2
26,26,2016-10-10 01:34:12.580,,"RT @KathyShelton_: That's right Hillary, I'm here at the #debate, you let my rapist free when I was 12 years old. Keep denying it, but it w…",,, thats right hillary im here at the  you let my rapist free when i was years old keep denying it but it w…,2,2,2
27,27,2016-10-10 01:34:12.676,,"RT @TheBrodyFile: The reason why Trump has been so effective so far is because he's much calmer tonight, focused and prepared.  #debate #cb…",,, the reason why trump has been so effective so far is because hes much calmer tonight focused and prepared …,2,2,2
28,28,2016-10-10 01:34:12.718,,Let's build a wall around Canada so they can't use our doctors! #MAGA #debate,,,lets build a wall around canada so they cant use our doctors,0,0,0
29,29,2016-10-10 01:34:12.617,,Omg #Trump vocabulary is so limited.... like bruh did you go to school?? It's like I'm watching a trailer trash show in Comedy Central,,,omg vocabulary is so limited like bruh did you go to school its like im watching a trailer trash show in comedy central,0,0,0
30,30,2016-10-10 01:34:12.667,,"RT @willtbh: Donald Trump: I'm a gentleman. 

Fact Checkers: 

#Debate https://t.co/Z813R7aO1P",,, donald trump im a gentleman fact checkers,2,2,2
31,31,2016-10-10 01:34:12.596,,"RT @Luiss_v76: I don't even have to watch the debate, twitter got me covered",,, i dont even have to watch the debate twitter got me covered,0,0,0
32,32,2016-10-10 01:34:12.595,"Scott, LA",I was thinking the same thing. https://t.co/JWDiizsIGh,-92.1123075,30.2395025,i was thinking the same thing,2,2,2
33,33,2016-10-10 01:34:12.653,,"No Trump, Canadians are very happy with healthcare. #Debate",,,no trump canadians are very happy with healthcare,2,2,2
34,34,2016-10-10 01:34:12.665,,RT @adamrivers: When I ran for President of the Class of 2006 at Chicopee High we talked about more issues than this #debate....,,, when i ran for president of the class of at chicopee high we talked about more issues than this ,2,2,2
35,35,2016-10-10 01:34:12.699,,Why doesn't this mf just answer the question. Or is it because you got no mf strategies my dude? #debate,,,why doesnt this mf just answer the question or is it because you got no mf strategies my dude,0,0,0
36,36,2016-10-10 01:34:12.627,,RT @CaroleRadziwill: Finally we are hearing about an issue that people care about. Heathcare. Thank you @HillaryClinton. #debate,,, finally we are hearing about an issue that people care about heathcare thank you ,2,2,2
37,37,2016-10-10 01:34:12.468,,"Obamacare is being replaced by cocaine
#Debate #sniff",,,obamacare is being replaced by cocaine,2,2,2
38,38,2016-10-10 01:34:13.664,,#Obamacare #singlepayer are horrible.  #Canada rocks #trump YOU STILL HAVE NO PLAN.,,,are horrible rocks you still have no plan,0,0,0
39,39,2016-10-10 01:34:13.484,,RT @JohnFugelsang: Trump's worst nightmare. 2 women and a gay man telling him not to talk. #debate,,, trumps worst nightmare women and a gay man telling him not to talk,0,0,0
40,40,2016-10-10 01:34:13.497,,RT @DiamondandSilk: .@realDonaldTrump just chewed crooked Hillary up and spit her out  #Because you would be jailed. @DiamondandSilk lo…,,,  just chewed crooked hillary up and spit her out you would be jailed lo…,2,2,2
41,41,2016-10-10 01:34:13.634,,RT @Rumrill617: More drama in this debate than my whole 4 years of high school this is ridiculous.,,, more drama in this debate than my whole years of high school this is ridiculous,2,2,2
42,42,2016-10-10 01:34:12.580,"Joplin, MO",No Benghazi was mandated by federal law and she let them die! https://t.co/ov7jxfNfWA,-94.4982285,37.096519,no benghazi was mandated by federal law and she let them die,0,0,0
43,43,2016-10-10 01:34:13.569,,Once again when it comes to giving a definitive plan Trump has no real details only an overview #Debate,,,once again when it comes to giving a definitive plan trump has no real details only an overview,0,0,0
44,44,2016-10-10 01:34:13.594,,RT @neptunetm: Trump with the 1v3,,, trump with the v3,2,2,2
45,45,2016-10-10 01:34:13.675,,Clinton has detailed policy about healthcare. Trump does blabbers on. #debate,,,clinton has detailed policy about healthcare trump does blabbers on,2,2,2
46,46,2016-10-10 01:34:13.438,,RT @realDonaldTrump: Basically nothing Hillary has said about her secret server has been true. #CrookedHillary,,, basically nothing hillary has said about her secret server has been true,0,0,0
47,47,2016-10-10 01:34:13.434,"Berkeley, CA",Maybe Trump needs to go up to Canada and see someone about his nasal drip,-122.2795215,37.8758455,maybe trump needs to go up to canada and see someone about his nasal drip,0,0,0
48,48,2016-10-10 01:34:13.617,,"Lots of whooping for Trump on this answer about Obamacare. And yes, I mean people are saying, ""Whoooop!""",,,lots of whooping for trump on this answer about obamacare and yes i mean people are saying whoooop,2,2,2
49,49,2016-10-10 01:34:13.555,,The guy in the back right behind trump shoulder is about to pass out. #debate,,,the guy in the back right behind trump shoulder is about to pass out,2,2,2
50,50,2016-10-10 01:34:13.684,,RT @AceOHeartz: I never realized how small his hands are until now  #debate,,, i never realized how small his hands are until now,0,0,0
51,51,2016-10-10 01:34:13.672,,hmm- maybe Obamacare could help Trump with his cold... #debate,,,hmm- maybe obamacare could help trump with his cold,2,2,2
52,52,2016-10-10 01:34:13.699,,Why is Trump sounds as if he is sniffing?,,,why is trump sounds as if he is sniffing,2,2,2
53,53,2016-10-10 01:34:13.593,,"RT @PolitiFact: As we've written, there is no evidence Hillary Clinton's emails have been hacked. https://t.co/PlUZbFyfr0 https://t.co/ZGun…",,, as weve written there is no evidence hillary clintons emails have been hacked 0,0,0,0
54,54,2016-10-10 01:34:13.590,,"RT @JasonLeopold: Trump thinks ""C"" marking in HRC emails means classified. It means ""confidential"" #Drake",,, trump thinks c marking in hrc emails means classified it means confidential,2,2,2
55,55,2016-10-10 01:34:13.625,,"RT @KWWKRADIO: Donald Trump on Pussy-Grabbing Tape: ""No, I Didn't Say That"" https://t.co/sAnD8NuA5o https://t.co/sLYR7eQwii",,, donald trump on pussy-grabbing tape no i didnt say that,0,0,0
56,56,2016-10-10 01:34:13.317,,"""Interrupt me again and see what happens""

- my mom if she was the debate moderator.

#debate",,,interrupt me again and see what happens - my mom if she was the debate moderator,2,2,2
57,57,2016-10-10 01:34:13.647,,RT @DaneCook: Trump is walking around like he's about to battle in 8 Mile. #debate,,, trump is walking around like hes about to battle in mile,2,2,2
58,58,2016-10-10 01:34:12.369,,"I'm, suprised its even this close. Trump seems like he's on 'Ludes #ClintonVsTrump https://t.co/C8rHR2gc4o",,,im suprised its even this close trump seems like hes on ludes,0,0,0
59,59,2016-10-10 01:34:13.684,,RT @fuggirls: Hillary turn around there's something behind you girl TURN AROUND. #horrormovie #debate -H https://t.co/nzzn6JfD49,,, hillary turn around theres something behind you girl turn around -h 9,2,2,2
60,60,2016-10-10 01:34:13.567,,@HeyTammyBruce @lf2873 trump taking the room from there bias ass,,,trump taking the room from there bias ass,2,2,2
61,61,2016-10-10 01:34:13.531,,"RT @adanooope: Cooper: ""Mr Trump, did you brag about sexual assault?""

Trump: ""ISIS. Make America Great Again. Borders. Jobs. I have lots o…",,, cooper mr trump did you brag about sexual assault trump isis make america great again borders jobs i have lots o…,2,2,2
62,62,2016-10-10 01:34:13.593,,I hope this isn't us telling the rest of the world that these are the best two representatives we have in the entire nation. #debate,,,i hope this isnt us telling the rest of the world that these are the best two representatives we have in the entire nation,2,2,2
63,63,2016-10-10 01:34:13.236,,America's most polarizing technology: acid wash. #debate https://t.co/z0tJM6RYZy,,,americas most polarizing technology acid wash,2,2,2
64,64,2016-10-10 01:34:13.668,,RT @rgay: And let us please all note the ways in which Trump is trying to physically intimidate Clinton.,,, and let us please all note the ways in which trump is trying to physically intimidate clinton,2,2,2
65,65,2016-10-10 01:34:13.323,,"RT @GeorgeTakei: When Trump says it's just ""locker room talk,"" he's defending the very culture that normalizes sexual assaults on women.",,, when trump says its just locker room talk hes defending the very culture that normalizes sexual assaults on women,2,2,2
66,66,2016-10-10 01:34:13.623,,RT @OnionPolitics: Undecided Voter Unsure Which Candidate He Wants To Go To Jail #debate,,, undecided voter unsure which candidate he wants to go to jail,0,0,0
67,67,2016-10-10 01:34:13.608,,RT @kevinroose: RT if you already stress-ate all your debate snacks,,, rt if you already stress-ate all your debate snacks,2,2,2
68,68,2016-10-10 01:34:13.669,,"RT @realDonaldTrump: Hillary’s 33,000 deleted emails about her daughter’s wedding. That’s a lot of wedding emails. #debate",,, hillary’s 000 deleted emails about her daughter’s wedding that’s a lot of wedding emails,2,2,2
69,69,2016-10-10 01:34:13.621,"California, USA",I wonder where Trump gets his news.,-119.3066075,37.2691755,i wonder where trump gets his news,2,2,2
70,70,2016-10-10 01:34:13.666,,"RT @DianaZogaFox4: Trump: ""Obamacare is a disaster"". Proposes repealing and replacing it with something ""much less expensive"".",,, trump obamacare is a disaster proposes repealing and replacing it with something much less eensive,2,2,2
71,71,2016-10-10 01:34:13.659,,Fuck them both...turned it off. #werealldoomed #debate,,,fuck them bothturned it off,2,2,2
72,72,2016-10-10 01:34:13.611,,RT @DiamondandSilk: Hillary is on the deflect. Now she's lying about fixing Obama care. Wow. First it was o.k. now she want's to fix it…,,, hillary is on the deflect now shes lying about fixing obama care wow first it was ok now she wants to fix it…,2,2,2
73,73,2016-10-10 01:34:13.556,,RT @wizkhalifa: Fool said it was 1 on 3. https://t.co/Z9nIpszQQB,,, fool said it was on ,2,2,2
74,74,2016-10-10 01:34:13.667,"Williamsport, PA","Trump just said he's ""a gentlemen"" just wondering if he was a gentlemen when he ""grabbed her by the pussy""",-77.063162,41.248342,trump just said hes a gentlemen just wondering if he was a gentlemen when he grabbed her by the pussy,2,2,2
75,75,2016-10-10 01:34:13.675,,"RT @TimSClark: #Hillary ""I'm committed to treating classified information carefully."" #Trump ""and she didn't know C meant classified."" #BOO…",,, im committed to treating classified information carefully and she didnt know c meant classified …,2,2,2
76,76,2016-10-10 01:34:13.632,,"RT @man_crush: ""No, I'm a gentleman."" #DonaldTrump UHM, SOMEBODY FACT CHECK THAT! #Debate https://t.co/AaZQHcDV3l",,, no im a gentleman uhm somebody fact check that,2,2,2
77,77,2016-10-10 01:34:13.552,,RT @bengleib: 80% chance this debate ends in Hillary and Trump in a fist fight or passionate makeout. #debates,,,  chance this debate ends in hillary and trump in a fist fight or passionate makeout,2,2,2
78,78,2016-10-10 01:34:13.428,The Netherlands,So now all the presidential candidates including the 3rd party ones agree that Obamacare is a failure. #debate,5.2626035,52.1630765,so now all the presidential candidates including the rd party ones agree that obamacare is a failure,2,2,2
79,79,2016-10-10 01:34:13.689,,"RT @bobvulfov: ANDERSON COOPER: did u advocate for sexual assault
TRUMP: i'll destroy isis
ANDERSON COOPER: u didnt answer the question
TRU…",,, anderson cooper did u advocate for sexual assault trump ill destroy isis anderson cooper u didnt answer the question tru…,2,2,2
80,80,2016-10-10 01:34:13.687,,RT @dilemmv: This man is an unhinged mad man! #debate,,, this man is an unhinged mad man,2,2,2
81,81,2016-10-10 01:34:13.677,,RT @cthagod: Hillary just gotta say what's worse deleting emails or you grabbing pussy??? #Debates,,, hillary just gotta say whats worse deleting emails or you grabbing pussy,2,2,2
82,82,2016-10-10 01:34:14.660,,"RT @mmpadellan: #Trump says we have 2 replace #Obamacare with ""something really great"" not saying what it would be. Typical. #debate",,, says we have replace with something really great not saying what it would be typical,2,2,2
83,83,2016-10-10 01:34:14.553,,RT @TheBriefing2016: FACT: Trump's health care plans would take health insurance away from 21 million Americans. #debate https://t.co/XzpoV…,,, fact trumps health care plans would take health insurance away from million americans,2,2,2
84,84,2016-10-10 01:34:14.510,,RT @greenfield64: Trump just hit the moderator for not bringing up emails just after Raddatz raised the email issue.,,, trump just hit the moderator for not bringing up emails just after raddatz raised the email issue,2,2,2
85,85,2016-10-10 01:34:14.553,,RT @KyleKulinski: Trump just told Hillary he'll jail her. Jailing political enemies is basically fascism 101. What the fuck is going on. #d…,,, trump just told hillary hell jail her jailing political enemies is basically fascism  what the fuck is going on …,0,0,0
86,86,2016-10-10 01:34:14.568,,"*sniff* #debate Bad mic, again?",,,sniff bad mic again,0,0,0
87,87,2016-10-10 01:34:14.533,,RT @wastesyourtime: And the #debate mic is bad. It keeps being weirdly jammed too close to my face even though I'm holding it like famo…,,, and the mic is bad it keeps being weirdly jammed too close to my face even though im holding it like famo…,0,0,0
88,88,2016-10-10 01:34:14.655,,Obamacare is the only reason I got a #mirena for free. Thanks for no babies Obama! #debate,,,obamacare is the only reason i got a for free thanks for no babies obama,2,2,2
89,89,2016-10-10 01:34:14.633,,"If you say the same thing enough times, do you think it'll come true, Donald?
#debate",,,if you say the same thing enough times do you think itll come true donald,2,2,2
