,index,dates,place_names,tweets,long,lat,clean_tweets,polarity,polarity_q_clinton,polarity_q_trump
0,0,2016-10-10 01:37:51.670,,"RT @jk_rowling: Trump says 'just words, folks.' It's his accusation and his defence. Words don't matter. Facts don't matter. If they don't,…",,, trump says just words folks its his accusation and his defence words dont matter facts dont matter if they dont…,2,2,2
1,1,2016-10-10 01:37:51.598,,this nigga trump learned a lot from that last debate lol,,,this nigga trump learned a lot from that last debate lol,2,2,2
2,2,2016-10-10 01:37:52.664,,I know we had Gore invading Bush personal space in the past - how close was Trump to Clinton there? Heavens. #debatenight,,,i know we had gore invading bush personal space in the past - how close was trump to clinton there heavens,2,2,2
3,3,2016-10-10 01:37:52.522,,"RT @BostonGlobe: .@HillaryClinton: ""It's good that someone with the temperament of Donald Trump is not in charge of the law in our c…",,,  its good that someone with the temperament of donald trump is not in charge of the law in our c…,2,2,2
4,4,2016-10-10 01:37:52.572,"Commerce, TX",Trump gave a legit answer,-95.9046305,33.24548,trump gave a legit answer,2,2,2
5,5,2016-10-10 01:37:52.472,,I don't know it! State some facts for a change! #debatenight https://t.co/wX4d02SADe,,,i dont know it state some facts for a change,2,2,2
6,6,2016-10-10 01:37:52.683,,"RT @GitRDoneLarry: ""Mrs Clinton, did your husband mean what he said when he trashed healthcare?"" Hillary: ""I don't know I haven't seen him…",,, mrs clinton did your husband mean what he said when he trashed healthcare hillary i dont know i havent seen him…,0,0,0
7,7,2016-10-10 01:37:52.594,,RT @CloydRivers: A fly landed on Hillary's face. Makes sense. Flies are attracted to pieces of shit. Merica. https://t.co/zGt2mgCB6A,,, a fly landed on hillarys face makes sense flies are attracted to pieces of shit merica,2,2,2
8,8,2016-10-10 01:37:52.655,,RT @AidenWolfe: OMFG! Trump is standing behind Hillary like a god damn stalker! #debate,,, omfg trump is standing behind hillary like a god damn stalker,2,2,2
9,9,2016-10-10 01:37:52.600,,Debate 3: when hell freezes over,,,debate  when hell freezes over,2,2,2
10,10,2016-10-10 01:37:52.556,,RT @Mike_Sanz20: If I was president I would put Hillary and Trump both in jail,,, if i was president i would put hillary and trump both in jail,2,2,2
11,11,2016-10-10 01:37:52.681,,RT @corndognugget: trump: *sniff* no *sniff* one *sniff* respects *sniff* women *sniff* as *sniff* much *sniff* as *sniff* me *sniff*,,, trump sniff no sniff one sniff respects sniff women sniff as sniff much sniff as sniff me sniff,0,0,0
12,12,2016-10-10 01:37:52.627,,"Please, leave Canada alone 🇨🇦#debate",,,please leave canada alone 🇨🇦,2,2,2
13,13,2016-10-10 01:37:52.592,,I swear I get so confused if the debate is about trashing Obama's name... Or Trump and Hilary's goals/plans to help our country... #debate,,,i swear i get so confused if the debate is about trashing obamas name or trump and hilarys goals/plans to help our country,2,2,2
14,14,2016-10-10 01:37:52.659,,What is he even talking about? Lines around states? That's not a thing. It's nonsense. #Debate,,,what is he even talking about lines around states thats not a thing its nonsense,2,2,2
15,15,2016-10-10 01:37:52.647,,"RT @sallykohn: Cooper asks how Trump can get rid of Obamacare &amp; still promise coverage for pre-existing conditions

Trump's answer ""We'll h…",,, cooper asks how trump can get rid of obamacare &amp still promise coverage for pre-existing conditions trumps answer well h…,2,2,2
16,16,2016-10-10 01:37:52.666,,americans tryin to cover up the sadness of reality by making jokes about how rediculous the #debate is,,,americans tryin to cover up the sadness of reality by making jokes about how rediculous the is,0,0,0
17,17,2016-10-10 01:37:52.553,,RT @ABalogss: lol man like Donald dodging these questions like a pro #debate,,, lol man like donald dodging these questions like a pro,2,2,2
18,18,2016-10-10 01:37:52.667,,"I can't do this anymore. ""Our plans are so great you're not even going to believe it. (sniff sniff)"" WHAT IS YOUR ACTUAL PLAN? HOW?! #debate",,,i cant do this anymore our plans are so great youre not even going to believe it sniff sniff what is your actual plan how,0,0,0
19,19,2016-10-10 01:37:52.577,,RT @jenkleintweets: Love.  https://t.co/EWxg8nnrOG,,, love,2,2,2
20,20,2016-10-10 01:37:52.599,,RT @JustinRaimondo: Trump gives incredibly coherent critique of Obamacare -- makes vital point about lack of competition across state lines.,,, trump gives incredibly coherent critique of obamacare -- makes vital point about lack of competition across state lines,2,2,2
21,21,2016-10-10 01:37:52.557,,@HillaryClinton @TheBriefing2016 It's time for Hillary to go to prison!!,,,its time for hillary to go to prison,2,2,2
22,22,2016-10-10 01:37:52.567,,RT @ronnin42: Trump looks like a predator on stage.,,, trump looks like a predator on stage,2,2,2
23,23,2016-10-10 01:37:52.467,,RT @benshapiro: Trump doing well on Obamacare. https://t.co/YYXyjnIEbv,,, trump doing well on obamacare,2,2,2
24,24,2016-10-10 01:37:52.684,,Thank you Mr. Trump. #deleteyouraccount,,,thank you mr trump,2,2,2
