,date,place_name,tweet,long,lat,cleaned_tweet,polarity,polarity_cl
0,2016-10-20 01:35:45.562,,WRONG #DEBATE,,,wrong,2,2
1,2016-10-20 01:35:45.680,,Does trump masturbate to a wall or something,,,does trump masturbate to a wall or something,2,2
2,2016-10-20 01:35:45.546,,"He will grabU Trump's campaign manager: please stop calling Trump's ""pussy"" comments ""sexual assault"" https://t.co/AmB4erHoJ7 via @voxdotcom",,,he will grabu trumps campaign manager please stop calling trumps pussy comments sexual assault via,2,2
3,2016-10-20 01:35:45.584,,"#Sniff  #sniffing   #sniffwhentrumpsniffs 

I'm not voting for #Sniffles.  

Don't think he's on drugs, I think his… https://t.co/TeFrIEtZ3T",,,im not voting for  dont think hes on drugs i think his…,2,0
4,2016-10-20 01:35:46.649,,"Trump Is Like Blatantly Racist.. 
How Can You Vote For This Dickhead.",,,trump is like blatantly racist how can you vote for this dickhead,2,2
5,2016-10-20 01:35:46.695,,Saudis support you Hillary and you support them #debatenight . So you're now saying Saudi nukes are bad?,,,saudis support you hillary and you support them  so youre now saying saudi nukes are bad,2,2
6,2016-10-20 01:35:46.684,,This Trump na Mumu shaa,,,this trump na mumu shaa,2,2
7,2016-10-20 01:35:46.630,,My dad dozed off during the debate and woke up and asked if this was SNL. I wish I could've said yes #DebateHeadache,,,my dad dozed off during the debate and woke up and asked if this was snl i wish i couldve said yes,2,0
8,2016-10-20 01:35:46.673,,I'll give Hillary something. She sure knows how to spin a story,,,ill give hillary something she sure knows how to spin a story,2,2
9,2016-10-20 01:35:46.656,"Milwaukee, WI",Hillary Clinton supports abortions 'even on the due date' https://t.co/5kkTSlw1u8 #debate #Votebluewi #Appleton #LaCrosseWI #Waukesha #UWWC,-87.9672925,43.0567225,hillary clinton supports abortions even on the due date 1u8,2,2
10,2016-10-20 01:35:46.605,,#Trump acts like a #child #debatenight,,,acts like a,2,2
11,2016-10-20 01:35:46.628,"Frisco, TX",Now Putin is smarter than Hillary???,-96.835249,33.1501395,now putin is smarter than hillary,2,2
12,2016-10-20 01:35:46.624,,"im still dying @ the fact that trump said ""hombres"" wrong 😭😭😭",,,im still dying the fact that trump said hombres wrong,2,0
13,2016-10-20 01:35:46.642,,"I know wikileaks has helped Trump, but that defense of Putin always outsmarting US Gov was a little much",,,i know wikileaks has helped trump but that defense of putin always outsmarting us gov was a little much,2,2
14,2016-10-20 01:35:46.566,,What on earth is going on? #debatenight Trump makes Abbott look like a deserving Rhodes Scholar,,,what on earth is going on trump makes abbott look like a deserving rhodes scholar,2,2
15,2016-10-20 01:35:46.392,,Can Hillary sound more stupid than she does tonight? Stop lying Hillary! #debatenight #debate2016 #CrookedHillary #neverhillary,,,can hillary sound more stupid than she does tonight stop lying hillary,2,2
16,2016-10-20 01:35:44.819,,"I think the person who's landed the most punches so far is the moderator. I approve, Chris Wallace. #debate",,,i think the person whos landed the most punches so far is the moderator i approve chris wallace,2,2
17,2016-10-20 01:35:46.701,,in what other profession would this type of behavior be professional? #debate,,,in what other profession would this type of behavior be professional,2,2
18,2016-10-20 01:35:46.711,,This debate sounds like a terrible divorce proceeding 😪,,,this debate sounds like a terrible divorce proceeding,2,0
19,2016-10-20 01:35:46.700,,I am absolutely SICK over the fact that people actually endorse Trump for president #debate,,,i am absolutely sick over the fact that people actually endorse trump for president,2,2
20,2016-10-20 01:35:46.657,,Is it just me or Donald Trump less orange?,,,is it just me or donald trump less orange,2,2
21,2016-10-20 01:35:46.480,,Just shut up trump 💢💢💢💢,,,just shut up trump,2,2
22,2016-10-20 01:35:46.567,,"Nice shot #Hillary calling #DonaldTrump #Putins puppet. ""If the US got along with Russia it wouldn't be that bad"" He must have some deals",,,nice shot calling puppet if the us got along with russia it wouldnt be that bad he must have some deals,2,2
23,2016-10-20 01:35:46.558,,There's my girl! #debate https://t.co/6bfJqn5FMY,,,theres my girl,0,2
24,2016-10-20 01:35:47.608,,cant believe trump just broke up with putin like that on live TV... hes prob crying in his room eating chocolate ice cream out of the carton,,,cant believe trump just broke up with putin like that on live tv hes prob crying in his room eating chocolate ice cream out of the carton,2,0
25,2016-10-20 01:35:47.674,,can't look at Trump without seeing that photo of his lips photoshopped onto his eyes,,,cant look at trump without seeing that photo of his lips photoshopped onto his eyes,2,0
26,2016-10-20 01:35:47.599,,lol the presidential debate has become a sequence of subtweets if that doesn't say enough about the future of our country idk,,,lol the presidential debate has become a sequence of subtweets if that doesnt say enough about the future of our country idk,2,2
27,2016-10-20 01:35:47.159,"Berkeley, CA","I support a single donut grid, a global sweet treat. #debate https://t.co/gfHOnpimdb",-122.2795215,37.8758455,i support a single donut grid a global sweet treat,2,2
28,2016-10-20 01:35:47.632,"North Bergen, NJ",Dear @realDonaldTrump @POTUS is not running for office. He did that -twice! So keep his name out of your mouth #debate,-74.0245075,40.7905115,dear is not running for office he did that -twice so keep his name out of your mouth,2,0
29,2016-10-20 01:35:47.667,,#debatenight its just the debate and I don't give a fuck about none of this shit and I already wanna kick someone's ass,,,its just the debate and i dont give a fuck about none of this shit and i already wanna kick someones ass,0,2
30,2016-10-20 01:35:47.658,,I DONT TRUST TRUMP WITH THE NUCLEAR CODES,,,i dont trust trump with the nuclear codes,0,2
31,2016-10-20 01:35:47.663,,"Funny how he says ""wrong"" to things we all have heard him say repeatedly. #Debate",,,funny how he says wrong to things we all have heard him say repeatedly,2,2
32,2016-10-20 01:35:47.551,,#Debate would last 20 minutes if 1)moderator had power to mute candidate's mic 2) use audio clips of candidates to prove what they've said.,,,would last minutes if moderator had power to mute candidates mic  use audio clips of candidates to prove what theyve said,2,2
33,2016-10-20 01:35:47.636,,#debate Does HRC have Parkinson's?  Is that a tremor in her shoulder?  Is that a pill rolling position in your hand when you gesture?,,,does hrc have parkinsons is that a tremor in her shoulder is that a pill rolling position in your hand when you gesture,2,2
34,2016-10-20 01:35:47.565,"Sullivan, MO",Fact-checks from the third presidential debate (running story) https://t.co/J9y0MyrpFI via @PolitiFact,-91.1645195,38.220552,fact-checks from the third presidential debate running story via,2,2
35,2016-10-20 01:35:47.376,,Sweet Jebus- I'm in pain &amp; am too tired to listen to these children bickering. Good night @HillaryClinton… https://t.co/d51hLReelt,,,sweet jebus- im in pain &amp am too tired to listen to these children bickering good night …,2,0
36,2016-10-20 01:35:47.663,,Hillary just got donald to defend trump I'm crying #debatenight,,,hillary just got donald to defend trump im crying,2,0
37,2016-10-20 01:35:47.477,,"Trump vs. Hillary: “If Hillary gets into, I Predict Nuclear War before her First term is Over” https://t.co/g8OXBTvfLI via @21stCent_News",,,trump vs hillary “if hillary gets into i predict nuclear war before her first term is over” via,2,2
38,2016-10-20 01:35:48.612,,@evepeyser it's fucking hilarious to me that trump thinks putin actually likes him,,,its fucking hilarious to me that trump thinks putin actually likes him,2,2
39,2016-10-20 01:35:48.553,,#loms4potus i don't think anyone should trust trump,,,i dont think anyone should trust trump,2,2
40,2016-10-20 01:35:48.610,,Thanks @latinovictoryus for hosting this debate watch party. Hillary is poised and ready! #debatenight #Imwithher,,,thanks for hosting this debate watch party hillary is poised and ready,2,4
41,2016-10-20 01:35:48.682,,TRUMP  is like MAY ..  a nuttter @GallusGatsby @theresa_may @Moira1987,,,trump is like may  a nuttter,0,2
42,2016-10-20 01:35:48.672,"Manhattan, NY","Trump: *brags about Putin*
Moderator: Do you support Putin?
Trump: I don't know her.

#debatenight",-73.9685415,40.780709,trump brags about putin moderator do you support putin trump i dont know her,2,2
43,2016-10-20 01:35:48.607,,Trump is a toddler throwing a fit in the middle of a store &amp; Hillary is his mother just staring at him waiting for him to stop #debatenight,,,trump is a toddler throwing a fit in the middle of a store &amp hillary is his mother just staring at him waiting for him to stop,4,0
44,2016-10-20 01:35:48.553,,She's so full of shit😛 https://t.co/oFKs1RodG2,,,shes so full of shit 2,2,2
45,2016-10-20 01:35:48.694,,Trump needs to drop a diss tape,,,trump needs to drop a diss tape,4,2
46,2016-10-20 01:35:48.409,,@paulkrugman @ek_obrien Amazing Bitch Hillary can't answer the question! Deflects to Putin!,,,amazing bitch hillary cant answer the question deflects to putin,2,2
47,2016-10-20 01:35:48.472,"Virginia, USA",Trump disregards women and their privacy and health. He doesn't think women are smart enough. https://t.co/i3yxy1gPhG,-79.420865,38.0033755,trump disregards women and their privacy and health he doesnt think women are smart enough,2,2
48,2016-10-20 01:35:48.691,,If Donald trump becomes president im moving back to Canada #ParkviewSOS,,,if donald trump becomes president im moving back to canada,2,2
49,2016-10-20 01:35:48.431,,"- What's you sources ?
*Trump* - «Many, Many reports. https://t.co/qm01rdvHso",,,- whats you sources  trump - «many many reports,2,2
50,2016-10-20 01:35:48.719,,I don't trust either of these knuckleheads when it comes to pushing the button #debate,,,i dont trust either of these knuckleheads when it comes to pushing the button,2,2
51,2016-10-20 01:35:48.666,,4 minutes between a president deciding to launch a nuke and it being launch. Do you want Trump kicking off that 4 min process? #debatenight,,,minutes between a president deciding to launch a nuke and it being launch do you want trump kicking off that min process,2,2
52,2016-10-20 01:35:48.638,,"@darrenhayes It was only ODNI, not 17 fact checked #debate",,,it was only odni not fact checked,0,0
53,2016-10-20 01:35:48.719,,"""You're the puppet. You're the puppet!!""    - Donald Trump, October 2016, Third Presidential Debate",,,youre the puppet youre the puppet - donald trump october  third presidential debate,2,2
54,2016-10-20 01:35:48.674,,@TxStormer funny I was just saying how much @realDonaldTrump has aged since the last debate #debatenight,,,funny i was just saying how much has aged since the last debate,2,2
55,2016-10-20 01:35:48.734,,"@stephenfhayes Every Republican, Romney to Trump. They fall for it. Never defend. Attack. Democrats will never stop attacking. #debate",,,every republican romney to trump they fall for it never defend attack democrats will never stop attacking,4,0
56,2016-10-20 01:35:48.659,,"Clinton: Putin is bad
Trump: I love him, bigly, I want him in me, you know it, I know it, it's a fact
Clinton: Jesus Christ, Donald",,,clinton putin is bad trump i love him bigly i want him in me you know it i know it its a fact clinton jesus christ donald,2,2
57,2016-10-20 01:35:48.649,,Trump just really can't help but interrupt. They really should cut his mic #debatenight,,,trump just really cant help but interrupt they really should cut his mic,2,0
58,2016-10-20 01:35:48.651,"Stephenville, TX",y'all who does hillary's makeup bc she has lipstick on her teeth every debate.,-98.219125,32.21631,yall who does hillarys makeup bc she has lipstick on her teeth every debate,2,2
59,2016-10-20 01:35:48.582,,Hillary tryna look Godly in this lil suit tho 👌🏾,,,hillary tryna look godly in this lil suit tho,2,2
60,2016-10-20 01:35:49.644,,Trump is vulnerable on nukes. do you want his finger on the button?,,,trump is vulnerable on nukes do you want his finger on the button,2,2
61,2016-10-20 01:35:49.570,,Sounds more like Clinton is more scary with the Nuclear Button than Trump.,,,sounds more like clinton is more scary with the nuclear button than trump,2,2
62,2016-10-20 01:35:49.570,,@DebraMessing trump denies again the crap that he spewed out of his mouth just a few weeks ago,,,trump denies again the crap that he spewed out of his mouth just a few weeks ago,2,0
63,2016-10-20 01:35:49.249,,Hillary is triggered 😂 #HauntedHillary https://t.co/99GpRqIXIx,,,hillary is triggered,2,2
64,2016-10-20 01:35:49.566,,"@AndrewCMcCarthy @SteveDeaceShow simple. Trump is mean no doubt. Not stupid, just crazy. And a philanderer. I cant trust a cheeto.",,,simple trump is mean no doubt not stupid just crazy and a philanderer i cant trust a cheeto,4,0
65,2016-10-20 01:35:49.562,,"When #Trump says wrong, that means go to the videotape.",,,when says wrong that means go to the videotape,2,0
66,2016-10-20 01:35:49.600,,I am assure you those 200 generals won't be voting for Trump,,,i am assure you those generals wont be voting for trump,2,2
67,2016-10-20 01:35:49.593,"Pacifica, CA","Have you noticed how no matter how stupid the things coming out of Trump's mouth are, Hillary sits quietly, respecting him? #debatenight",-122.4790695,37.616095,have you noticed how no matter how stupid the things coming out of trumps mouth are hillary sits quietly respecting him,2,0
68,2016-10-20 01:35:49.223,,Yeah... https://t.co/PItJKafrCK,,,yeah,2,2
69,2016-10-20 01:35:49.681,,Trump always bring every topic back to the middle-east and Syria in a few sentences. 'DebateNight,,,trump always bring every topic back to the middle-east and syria in a few sentences debatenight,0,2
70,2016-10-20 01:35:49.648,,#rvdebatewatch #debate In a world where Chris Wallace has to beg for silence. 😤,,,in a world where chris wallace has to beg for silence,2,2
