,date,place_name,tweet,long,lat,cleaned_tweet,polarity,polarity_cl
0,2016-10-10 02:23:47.662,,3 on 1 again --- .@realDonaldTrump against moderators but still kicking ass. #Debate,,,on again ---  against moderators but still kicking ass,2,2
1,2016-10-10 02:23:47.500,,"As Trump rants and raves,the question under him is whether he has the discipline to be a good leader. #debate #debatenight #debate2016",,,as trump rants and ravesthe question under him is whether he has the discipline to be a good leader,2,2
2,2016-10-10 02:23:47.662,,"Question: Mr #Trump, what is your full name?
Trump: Well, Sec. Clinton has a very very bad name, believe me
And Obama has an ""H"" in his name",,,question mr  what is your full name trump well sec clinton has a very very bad name believe me and obama has an h in his name,2,2
3,2016-10-10 02:23:47.621,,Trump's another Weiner lmao #debate,,,trumps another weiner lmao,2,2
4,2016-10-10 02:23:47.686,,@miss_adaizy lol trump is winning ma lets be honest.,,,lol trump is winning ma lets be honest,2,2
5,2016-10-10 02:23:48.663,,"Trump: ""Not unproud.""",,,trump not unproud,2,2
6,2016-10-10 02:23:48.566,,.@RealDonaldtrump doesn't have discipline to prepare 4 a debate much less the US presidency. #notleadershipmaterial,,, doesnt have discipline to prepare a debate much less the us presidency,4,0
7,2016-10-10 02:23:48.657,,"""she's got tremendous hatred,"" Trump says about Clinton",,,shes got tremendous hatred trump says about clinton,2,2
8,2016-10-10 02:23:48.595,,when donald trump compliments hillary clinton buy saying she would be like having 4 more years of obama 🤔🤔,,,when donald trump compliments hillary clinton buy saying she would be like having more years of obama 🤔🤔,2,2
9,2016-10-10 02:23:48.588,,Is Trump actually fucking bragging about how many twitter followers he has,,,is trump actually fucking bragging about how many twitter followers he has,2,2
10,2016-10-10 02:23:48.586,,"A 70 year old man explaining social media and being proud, like a 23yr old dudebro, about his followers is running for president. #debate",,,a year old man elaining social media and being proud like a yr old dudebro about his followers is running for president,2,4
11,2016-10-10 02:23:48.671,,trump doesnt know himself at all,,,trump doesnt know himself at all,2,2
12,2016-10-10 02:23:48.660,,"""I have so many followers!""

Trump, what the fuck are you talking about? #debate",,,i have so many followers trump what the fuck are you talking about,4,2
13,2016-10-10 02:23:48.637,,Live streaming the US debate on our phones at lunch. Why?! It's like a slo-mo smash em bro. #glued,,,live streaming the us debate on our phones at lunch why its like a slo-mo smash em bro,2,2
14,2016-10-10 02:23:48.612,,I thought that's what she said 😭 https://t.co/jYdoUf3nLD,,,i thought thats what she said d,2,2
15,2016-10-10 02:23:48.663,,"With all of his interruptions, Trump is proving far from disciplined #QUDW",,,with all of his interruptions trump is proving far from disciplined,2,2
16,2016-10-10 02:23:48.582,,"@DanAmrich but didn't you hear, that isn't the real trump people know #sarcasm #debate",,,but didnt you hear that isnt the real trump people know,2,0
17,2016-10-10 02:23:48.696,"Jersey City, NJ",Trump with not even enough discipline to let her answer the Discipline question without interrupting. #debate,-74.066663,40.7180015,trump with not even enough discipline to let her answer the discipline question without interrupting,2,0
18,2016-10-10 02:23:48.542,,Tweeting during the debate the Absolute Madman https://t.co/5iTMP7N5lN,,,tweeting during the debate the absolute madman,2,2
19,2016-10-10 02:23:48.572,,THIRTY SEVEN MORE MINUTES OF THIS BULLSHIT??? MAKE IT STOP. #debate with a #tangerinetesticle,,,thirty seven more minutes of this bullshit make it stop with a,2,2
20,2016-10-10 02:23:49.697,,This is some trippy shit. Trump brought his laugh track.,,,this is some trippy shit trump brought his laugh track,2,2
21,2016-10-10 02:23:49.672,,Trump finally had a semi-clever comeback. #debate,,,trump finally had a semi-clever comeback,0,2
22,2016-10-10 02:23:49.608,"Highview, KY",Why is the moderator debating Trump? #debate,-85.6451115,38.124299,why is the moderator debating trump,2,2
23,2016-10-10 02:23:49.572,,The cool thing about America is that funny comes from blue people and red people. #debate #pundits,,,the cool thing about america is that funny comes from blue people and red people,2,4
24,2016-10-10 02:23:49.569,,@heather_rae22 Well @realDonaldTrump promised tol go on a nice long vacation when he loses the election. So after #debate don't vote for him,,,well promised tol go on a nice long vacation when he loses the election so after dont vote for him,2,2
25,2016-10-10 02:23:49.553,,@mariashriver it's a 2 hour debate!,,,its a hour debate,2,2
26,2016-10-10 02:23:49.601,,Prison is correct...only he said 'jail.' Maybe he meant before sentencing. https://t.co/Q3euL0qp4y,,,prison is correctonly he said jail maybe he meant before sentencing,2,2
27,2016-10-10 02:23:49.551,,@kirstiealley Frankly I have no respect for anyone who thinks Trump should be Pres.  Not hate but lack of respect.,,,frankly i have no respect for anyone who thinks trump should be pres not hate but lack of respect,4,0
28,2016-10-10 02:23:49.541,,BEHOLD THE FACTS!! #debate https://t.co/CnFNj8Gx3K,,,behold the facts,4,2
