,date,place_name,tweet,long,lat,cleaned_tweet,polarity,polarity_cl
0,2016-10-20 01:27:55.659,,"Trump: We're going to speed up the process ""bigly""

THAT IS NOT A WORD!

#debatenight #debate",,,trump were going to speed up the process bigly that is not a word,2,2
1,2016-10-20 01:27:55.699,,The wheels are coming off #trump,,,the wheels are coming off,2,2
2,2016-10-20 01:27:55.605,"Los Angeles, CA",Donald Trump is about thirty seconds from going full berserker mode. Calm down rage monster. #debatenight,-118.4119065,34.0207895,donald trump is about thirty seconds from going full berserker mode calm down rage monster,2,2
3,2016-10-20 01:27:55.625,,"BREAKING NEWS: Trump triples down on ""bigly"" being a word.",,,breaking news trump triples down on bigly being a word,2,2
4,2016-10-20 01:27:55.648,,@McAllisterDen he told contractors he'd pay them for work too. Trump cannot be trusted on any level unless you have leverage over him.,,,he told contractors hed pay them for work too trump cannot be trusted on any level unless you have leverage over him,2,0
5,2016-10-20 01:27:55.574,,"By saying HRC was ""for"" ""Wall"" as in comp. border security is he tryin to get away w/saying HIS Wall was metaphorical all this time? #debate",,,by saying hrc was for wall as in comp border security is he tryin to get away w/saying his wall was metaphorical all this time,2,0
6,2016-10-20 01:27:55.549,,"hahahaha
Hillary: he used undocumented immigrants, I will not let employers like Donald exploit undocumented immigrants",,,hahahaha hillary he used undocumented immigrants i will not let employers like donald eloit undocumented immigrants,2,2
7,2016-10-20 01:27:55.611,,@realDonaldTrump and Hillary wants all of them to come into our country. Hello. Disaster,,,and hillary wants all of them to come into our country hello disaster,2,2
8,2016-10-20 01:27:55.653,,Clinton repeated everything what Trump was saying all the time.,,,clinton repeated everything what trump was saying all the time,0,2
9,2016-10-20 01:27:55.716,,@HillaryClinton accuses Trump of exploiting undocumented immigrants with threats of deportation. #debatenight,,,accuses trump of eloiting undocumented immigrants with threats of deportation,2,2
10,2016-10-20 01:27:55.575,,And the wall! #debate,,,and the wall,2,2
11,2016-10-20 01:27:55.712,,Ok well I really wanted to watch Jerry Springer but instead I got a debate. #debatenight,,,ok well i really wanted to watch jerry springer but instead i got a debate,2,0
12,2016-10-20 01:27:55.671,,"He always says ""biggly"" - am I the only one who doesn't recognize that as a word...? @APStylebook #debate #dumdum",,,he always says biggly - am i the only one who doesnt recognize that as a word,2,2
13,2016-10-20 01:27:56.663,,"Big league

-Donald Trump",,,big league -donald trump,2,2
14,2016-10-20 01:27:56.675,,TWICE! TWO BIGLIES! #debate,,,twice two biglies,2,2
15,2016-10-20 01:27:56.679,,"@realDonaldTrump saying ""believe me"" is the funniest thing tonight #debatenight #debate #donald #trump",,,saying believe me is the funniest thing tonight,2,2
16,2016-10-20 01:27:56.652,,wow. i actually took more than one question before the D word came of out Trump's mealy mouth. #Disaster #Debate2016,,,wow i actually took more than one question before the d word came of out trumps mealy mouth,0,2
17,2016-10-20 01:27:56.688,,"""Donald"" ""Donald"" ""Donald""
""THEY CALL ME MISTER TRUMP.""",,,donald donald donald they call me mister trump,4,2
18,2016-10-20 01:27:56.624,,She's fucking killing it! #debate,,,shes fucking killing it,2,2
19,2016-10-20 01:27:56.646,,Trump rl says nothing of content,,,trump rl says nothing of content,2,2
20,2016-10-20 01:27:56.550,,@FoxNews @HillaryClinton again Hilary can talk and they stop trump. And where is McMullen?  He should be up there with them.,,,again hilary can talk and they stop trump and where is mcmullen he should be up there with them,2,0
21,2016-10-20 01:27:56.384,,#debatenight  Why does Hillary keep looking down? TelePrompTer? Someone feeding her answers?,,,why does hillary keep looking down teleprompter someone feeding her answers,2,0
22,2016-10-20 01:27:56.613,,Trump honestly sounds like he's making fun of himself at this point,,,trump honestly sounds like hes making fun of himself at this point,4,2
23,2016-10-20 01:27:56.602,,Trump is just standing there taking head shots,,,trump is just standing there taking head shots,2,2
24,2016-10-20 01:27:56.720,,Trump got rich using shady financial tactics all around #debatenight,,,trump got rich using shady financial tactics all around,2,2
25,2016-10-20 01:27:56.659,,"why does trump take politics as if it's high school, jfc he doesnt even go after her he just talks shit about her friends lmao",,,why does trump take politics as if its high school jfc he doesnt even go after her he just talks shit about her friends lmao,2,0
26,2016-10-20 01:27:56.633,"Elgin, IL",I thought it was big league? 😂😂 https://t.co/4M9JSKxoFq,-88.3104475,42.0399395,i thought it was big league,2,2
27,2016-10-20 01:27:56.657,,HILLARY IS RUNNING THIS DEBATE! #DebateNight,,,hillary is running this debate,2,2
28,2016-10-20 01:27:56.505,,me whenever a word comes out of trump's mouth https://t.co/2iSRnpyDIt,,,me whenever a word comes out of trumps mouth,2,2
29,2016-10-20 01:27:56.667,,This debate is already awesome,,,this debate is already awesome,0,4
30,2016-10-20 01:27:56.642,,"Clinton: ""I voted for border security."" Trump: ""And the wall.""
#Debate",,,clinton i voted for border security trump and the wall,2,2
31,2016-10-20 01:27:56.694,"Florida, USA",@EvaLongoria great line by Trump. hilarious,-83.804475,27.698682,great line by trump hilarious,2,2
32,2016-10-20 01:27:56.589,,This is the real #debate on @realDonaldTrump and his #TwitterWar with the President of Mexico https://t.co/vVdc5cbolg #debatenight,,,this is the real on and his with the president of mexico,2,2
33,2016-10-20 01:27:56.710,"Boston, MA","Donald your wife is an immigrant, so fresh she can't even speak English. Why in the hell do you hate immigrants ?! #debate",-71.0887125,42.3136695,donald your wife is an immigrant so fresh she cant even speak english why in the hell do you hate immigrants ,2,0
34,2016-10-20 01:27:56.668,,Hillary looks angry and annoyed. Well prepared. #bigorangeape,,,hillary looks angry and annoyed well prepared,2,2
35,2016-10-20 01:27:57.629,,"Did @realDonaldTrump say ""bigly"" #debate",,,did say bigly,2,2
36,2016-10-20 01:27:57.636,,#debate really sick of listening to this lying treasonist wench,,,really sick of listening to this lying treasonist wench,2,2
37,2016-10-20 01:27:57.676,,Your favorite Trump's expression ? #DebateNight,,,your favorite trumps eression ,4,2
38,2016-10-20 01:27:57.559,,"Maybe someone should call for #Trump to take a drug test... oh wait.
#DebateNight #Debate #Debates https://t.co/TUdz5mGL0U",,,maybe someone should call for to take a drug test oh wait 0u,2,2
39,2016-10-20 01:27:57.563,,"That blink she did when Trump said ""bigly"". OH MY GOD #debate",,,that blink she did when trump said bigly oh my god,2,2
40,2016-10-20 01:27:57.604,,"Will somebody PLEASE tell trump that ""bigly"" is not a word?! #DebateHeadache",,,will somebody please tell trump that bigly is not a word,4,2
41,2016-10-20 01:27:57.686,"Dallas, TX",Trump wants to go backwards and leave Americans to face the wrath,-96.7617535,32.8198585,trump wants to go backwards and leave americans to face the wrath,2,0
42,2016-10-20 01:27:57.631,,this right here is our only hope #EvanMcMullin https://t.co/omhw1JtM5H,,,this right here is our only hope,0,2
43,2016-10-20 01:27:57.559,,"""bigly""  is officially the word of the day. #debate",,,bigly is officially the word of the day,2,2
44,2016-10-20 01:27:57.716,,"""Clinton: Massive deportation will rip this country apart. #debate"" #dadshifrah",,,clinton massive deportation will rip this country apart ,2,0
45,2016-10-20 01:27:57.678,,#CrookedHillary loophole will bring the illegal aliens out of the shadows and make them Americans #Debate https://t.co/WdLQG5JJBT,,,loophole will bring the illegal aliens out of the shadows and make them americans,2,2
46,2016-10-20 01:27:57.495,,Unbelievable. https://t.co/AaYe5RscTi,,,unbelievable,2,2
47,2016-10-20 01:27:57.679,,And there goes our first bigly of the night #DebateNight #PresidentialDebate #trump #bigly 😂😂😂,,,and there goes our first bigly of the night,2,2
48,2016-10-20 01:27:57.620,,Why is Australia so invested in Americas debate. We are another country. We don't care. Stop. #debate,,,why is australia so invested in americas debate we are another country we dont care stop,2,0
49,2016-10-20 01:27:57.659,,Hilary is all talk. Seriously what has she accomplished? https://t.co/yVEOSFx3si,,,hilary is all talk seriously what has she accomplished,2,2
50,2016-10-20 01:27:57.752,,"Trump definitely just said ""bigly""",,,trump definitely just said bigly,2,2
51,2016-10-20 01:27:57.656,,I'm biased but my girl Hillary sounds GOOD. #GoodTrumpsEvil #debatenight,,,im biased but my girl hillary sounds good,0,2
52,2016-10-20 01:27:57.675,,"Trump: ""And that's what's happened bigly. Bigly. Bigly!""
""OH GOD HE'S HAVING A STROKE!""
#debate",,,trump and thats whats happened bigly bigly bigly oh god hes having a stroke,2,0
53,2016-10-20 01:27:57.699,,Trump is masterful tonight,,,trump is masterful tonight,2,2
54,2016-10-20 01:27:57.593,"Denver, CO","""He choked"" in Mexico. Hillary telling it like it is. #debatenight",-104.9220935,39.713563,he choked in mexico hillary telling it like it is,2,2
55,2016-10-20 01:27:58.674,,Trump 😂 Loves 😂 Walls 😂 As 😂 Much 😂 As 😂 He 😂 Loves 😂 Grabbing 😂 Pussies 😳👌🏿,,,trump loves walls as much as he loves grabbing pussies,2,4
56,2016-10-20 01:27:58.485,,DRAG HIS ASS HILL. CALL HIM OUT ON HIS CHILDISH TENDENCIES! I can't wait to vote for my girl Hillary!!  #debatenight,,,drag his ass hill call him out on his childish tendencies i cant wait to vote for my girl hillary,2,4
57,2016-10-20 01:27:58.563,,Trump keeps himself composed for about 15 mins then it's 0 to 100 real quick after that,,,trump keeps himself composed for about mins then its to real quick after that,2,2
58,2016-10-20 01:27:58.569,,"Trump: ""We either have a border or we don't.""  Um, that's how ALL things work: either you have a Porsche or you don't. #debatenight",,,trump we either have a border or we dont um thats how all things work either you have a porsche or you dont,0,2
